Market Capitalisation Categorisation,Purchase Price Categorisation,File Date,Ticker,Sector,Market,Stock Name,Market Capitalisation,Purchase Price,Rank
Medium,Large,01/05/2023,LMAT,Health Care,NASDAQ,"LeMaitre Vascular, Inc.",512550000.00,74651.76,1
Small,Small,01/05/2023,SGRP,Miscellaneous,NASDAQ,"SPAR Group, Inc.",21070000.00,22969.32,5
Medium,Very Large,01/05/2023,TSI,n/a,NYSE,"TCW Strategic Income Fund, Inc.",271820000.00,98154.00,5
Small,Medium,01/05/2023,AXR,Consumer Services,NYSE,AMREP Corporation,56380000.00,47057.47,4
Small,Large,01/05/2023,FPT,n/a,NYSE,Federated Premier Intermediate Municipal Income Fund,94960000.00,73712.10,3
Small,Medium,01/05/2023,FTXL,n/a,NASDAQ,First Trust Nasdaq Semiconductor ETF,21580000.00,47878.22,3
Large,Large,01/05/2023,SO,Public Utilities,NYSE,Southern Company (The),51250000000.00,74715.06,2
Medium,Large,01/05/2023,QQXT,n/a,NASDAQ,First Trust NASDAQ-100 Ex-Technology Sector Index Fund,101070000.00,74154.09,2
Large,Large,01/05/2023,BABY,Health Care,NASDAQ,Natus Medical Incorporated,1160000000.00,74231.26,4
Large,Large,01/05/2023,CPK,Public Utilities,NYSE,Chesapeake Utilities Corporation,1230000000.00,73871.46,5
Huge,Medium,01/06/2023,KHC,Consumer Non-Durables,NASDAQ,The Kraft Heinz Company,108870000000.00,46371.32,1
Large,Medium,01/06/2023,SCI,Consumer Services,NYSE,Service Corporation International,6050000000.00,48562.55,5
Medium,Medium,01/06/2023,VCRA,Consumer Durables,NYSE,"Vocera Communications, Inc.",763420000.00,48182.78,5
Small,Very Large,01/06/2023,LTRX,Technology,NASDAQ,"Lantronix, Inc.",40450000.00,96750.42,5
Medium,Very Large,01/06/2023,FBIO,Health Care,NASDAQ,"Fortress Biotech, Inc.",222970000.00,97961.94,5
Medium,Small,01/06/2023,JHA,n/a,NYSE,Nuveen High Income 2020 Target Term Fund,296920000.00,23582.79,5
Huge,Very Large,01/06/2023,SAP,Technology,NYSE,SAP SE,126800000000.00,82246.47,2
Small,Medium,01/06/2023,DAVE,Consumer Services,NASDAQ,"Famous Dave's of America, Inc.",24350000.00,49427.98,1
Small,Small,01/06/2023,MDVX,Health Care,NASDAQ,Medovex Corp.,18220000.00,21651.12,4
Small,Very Large,01/06/2023,FCEL,Miscellaneous,NASDAQ,"FuelCell Energy, Inc.",65530000.00,99071.00,1
Medium,Medium,01/06/2023,AMRK,Basic Industries,NASDAQ,"A-Mark Precious Metals, Inc.",112500000.00,48678.25,4
Medium,Small,01/06/2023,BRT,Consumer Services,NYSE,BRT Apartments Corp.,109520000.00,24670.25,1
Small,Large,01/06/2023,MOSY,Technology,NASDAQ,"MoSys, Inc.",14150000.00,74191.57,1
Large,Medium,01/06/2023,ESV,Energy,NYSE,ENSCO plc,1740000000.00,49296.37,2
Small,Small,01/06/2023,FPA,n/a,NASDAQ,First Trust Asia Pacific Ex-Japan AlphaDEX Fund,45770000.00,23996.29,2
Large,Small,01/06/2023,COH,Consumer Non-Durables,NYSE,"Coach, Inc.",13000000000.00,24157.07,5
Large,Large,01/06/2023,TGI,Capital Goods,NYSE,"Triumph Group, Inc.",1580000000.00,74520.13,5
Medium,Very Large,01/06/2023,ACFC,Finance,NASDAQ,Atlantic Coast Financial Corporation,119140000.00,98337.86,4
Huge,Large,01/06/2023,SNY,Health Care,NYSE,Sanofi,123340000000.00,62990.84,2
Large,Very Large,01/06/2023,CNO,Finance,NYSE,"CNO Financial Group, Inc.",3530000000.00,98661.40,2
Small,Very Large,01/06/2023,TUES,Consumer Services,NASDAQ,Tuesday Morning Corp.,83440000.00,97735.51,4
Large,Very Large,01/06/2023,SITE,Consumer Non-Durables,NYSE,"SiteOne Landscape Supply, Inc.",1970000000.00,98281.12,4
Large,Medium,01/06/2023,ATO,Public Utilities,NYSE,Atmos Energy Corporation,9010000000.00,49960.42,1
Large,Large,01/06/2023,OR,Basic Industries,NYSE,Osisko Gold Royalties Ltd,1280000000.00,74616.51,4
Huge,Large,01/06/2023,JNJ,Health Care,NYSE,Johnson & Johnson,361920000000.00,63276.99,1
Large,Small,01/06/2023,EQT,Energy,NYSE,EQT Corporation,10190000000.00,24850.08,2
Large,Large,01/06/2023,GLNG,Consumer Services,NASDAQ,Golar LNG Limited,2180000000.00,74722.36,3
Medium,Medium,01/06/2023,ITIC,Finance,NASDAQ,Investors Title Company,365710000.00,48805.10,3
Small,Medium,01/06/2023,FBZ,n/a,NASDAQ,First Trust Brazil AlphaDEX Fund,25390000.00,47325.13,4
Medium,Large,01/06/2023,IGD,n/a,NYSE,Voya Global Equity Dividend and Premium Opportunity Fund,729050000.00,73485.54,5
Small,Small,01/06/2023,PY,n/a,NASDAQ,Principal Shareholder Yield Index ETF,7210000.00,24086.99,1
Large,Very Large,01/06/2023,SIR,Consumer Services,NASDAQ,Select Income REIT,2210000000.00,98606.66,3
Medium,Large,01/06/2023,UNB,Finance,NASDAQ,"Union Bankshares, Inc.",207260000.00,74574.28,1
Small,Large,01/06/2023,DXTR,Health Care,NASDAQ,Dextera Surgical Inc.,2970000.00,71473.97,5
Medium,Medium,01/06/2023,NM,Transportation,NYSE,Navios Maritime Holdings Inc.,133530000.00,48957.80,2
Medium,Small,01/06/2023,TITN,Consumer Services,NASDAQ,Titan Machinery Inc.,403050000.00,24326.46,2
Large,Small,01/06/2023,RNG,Technology,NYSE,"Ringcentral, Inc.",2670000000.00,24763.73,3
Large,Medium,01/06/2023,GWB,Finance,NYSE,"Great Western Bancorp, Inc.",2340000000.00,49148.13,4
Large,Large,01/06/2023,TSRO,Health Care,NASDAQ,"TESARO, Inc.",7770000000.00,74914.77,2
Small,Very Large,01/06/2023,CASI,Health Care,NASDAQ,"CASI Pharmaceuticals, Inc.",55380000.00,98738.91,2
Small,Large,01/06/2023,EYES,n/a,NASDAQ,"Second Sight Medical Products, Inc.",62000000.00,71766.77,4
Medium,Large,01/06/2023,RA,n/a,NYSE,Brookfield Real Assets Income Fund Inc.,858040000.00,73963.38,4
Large,Very Large,01/06/2023,VCSH,n/a,NASDAQ,Vanguard Short-Term Corporate Bond ETF,19140000000.00,98089.43,5
Huge,Medium,01/06/2023,UNH,Health Care,NYSE,UnitedHealth Group Incorporated,175030000000.00,42275.72,2
Medium,Very Large,01/06/2023,ELEC,Finance,NASDAQ,Electrum Special Acquisition Corporation,252500000.00,98733.53,1
Small,Small,01/06/2023,CBIO,Health Care,NASDAQ,"Catalyst Biosciences, Inc.",18830000.00,21976.83,3
Small,Large,01/06/2023,ORIG,Energy,NASDAQ,Ocean Rig UDW Inc.,13200000.00,72480.61,3
Medium,Very Large,01/06/2023,HTD,n/a,NYSE,John Hancock Tax Advantaged Dividend Income Fund,901610000.00,98596.30,2
Medium,Small,01/06/2023,HCHC,Capital Goods,NYSE,"HC2 Holdings, Inc.",244930000.00,23794.32,4
Huge,Small,01/06/2023,VZ,Public Utilities,NYSE,Verizon Communications Inc.,190220000000.00,7682.81,2
Medium,Medium,01/06/2023,FARM,Consumer Non-Durables,NASDAQ,Farmer Brothers Company,517130000.00,49220.67,1
Medium,Large,01/06/2023,BSET,Consumer Durables,NASDAQ,"Bassett Furniture Industries, Incorporated",342510000.00,74480.97,2
Huge,Very Large,01/06/2023,V,Miscellaneous,NYSE,Visa Inc.,217120000000.00,92173.88,1
Small,Very Large,01/06/2023,UBCP,Finance,NASDAQ,"United Bancorp, Inc.",63570000.00,98586.61,3
Large,Small,01/06/2023,MSG,Consumer Services,NYSE,MSG Networks Inc.,4600000000.00,24477.69,4
Large,Large,01/06/2023,SBCF,Finance,NASDAQ,Seacoast Banking Corporation of Florida,1070000000.00,74931.39,1
Small,Medium,01/06/2023,SRET,n/a,NASDAQ,Global X SuperDividend REIT ETF,3090000.00,47654.27,3
Small,Medium,01/06/2023,HOS,Consumer Services,NYSE,Hornbeck Offshore Services,97070000.00,48689.45,2
Small,Medium,01/06/2023,PRAN,Health Care,NASDAQ,Prana Biotechnology Ltd,18770000.00,47041.11,5
Huge,Small,01/06/2023,DIS,Consumer Services,NYSE,Walt Disney Company (The),165110000000.00,14255.13,1
Medium,Large,01/06/2023,KRNT,Capital Goods,NASDAQ,Kornit Digital Ltd.,643740000.00,74095.37,3
Large,Medium,01/06/2023,CABO,Consumer Services,NYSE,"Cable One, Inc.",4140000000.00,49205.43,3
Small,Large,01/06/2023,HBK,Finance,NASDAQ,"Hamilton Bancorp, Inc.",49800000.00,73200.09,2
Small,Small,01/06/2023,FBSS,Finance,NASDAQ,"Fauquier Bankshares, Inc.",70550000.00,21021.95,5
Medium,Very Large,01/06/2023,SGMO,Health Care,NASDAQ,"Sangamo Therapeutics, Inc.",535950000.00,98510.78,3
Medium,Small,01/06/2023,ACRX,Health Care,NASDAQ,"AcelRx Pharmaceuticals, Inc.",108910000.00,24139.95,3
Large,Small,01/06/2023,R,Consumer Services,NYSE,"Ryder System, Inc.",3600000000.00,24883.59,1
Large,Very Large,01/06/2023,ARES,Finance,NYSE,Ares Management L.P.,3790000000.00,99597.83,1
Large,Large,01/07/2023,BPL,Energy,NYSE,Buckeye Partners L.P.,8620000000.00,74395.94,2
Huge,Small,01/07/2023,CVX,Energy,NYSE,Chevron Corporation,205280000000.00,20087.02,1
Huge,Large,01/07/2023,PG,Basic Industries,NYSE,Procter & Gamble Company (The),229320000000.00,55544.98,3
Huge,Large,01/07/2023,T,Public Utilities,NYSE,AT&T Inc.,239530000000.00,59545.82,1
Large,Medium,01/07/2023,WWE,Consumer Services,NYSE,"World Wrestling Entertainment, Inc.",1600000000.00,48620.09,4
Small,Small,01/07/2023,OTIV,Technology,NASDAQ,On Track Innovations Ltd,51370000.00,23968.41,3
Huge,Medium,01/07/2023,JPM,Finance,NYSE,J P Morgan Chase & Co,306180000000.00,25046.55,3
Medium,Small,01/07/2023,SBCP,Finance,NASDAQ,"Sunshine Bancorp, Inc.",173850000.00,23644.35,4
Large,Very Large,01/07/2023,CNNX,Public Utilities,NYSE,Cone Midstream Partners LP,1170000000.00,98211.51,5
Small,Very Large,01/07/2023,SGBX,n/a,NASDAQ,"SG Blocks, Inc.",87854.20,99286.05,3
Huge,Small,01/07/2023,MO,Consumer Non-Durables,NYSE,Altria Group,149280000000.00,6833.44,2
Medium,Small,01/07/2023,CTT,Consumer Services,NYSE,"CatchMark Timber Trust, Inc.",452920000.00,23614.49,5
Small,Very Large,01/07/2023,SKIS,Consumer Services,NASDAQ,"Peak Resorts, Inc.",59430000.00,97259.06,5
Small,Large,01/07/2023,RELL,Consumer Non-Durables,NASDAQ,"Richardson Electronics, Ltd.",75940000.00,67167.98,5
Small,Medium,01/07/2023,ICAD,Health Care,NASDAQ,icad inc.,68610000.00,45976.56,5
Medium,Very Large,01/07/2023,PER,Energy,NYSE,SandRidge Permian Trust,150940000.00,99134.55,3
Medium,Medium,01/07/2023,MCA,n/a,NYSE,"Blackrock MuniYield California Insured Fund, Inc.",517810000.00,49401.76,3
Large,Medium,01/07/2023,ERJ,Capital Goods,NYSE,Embraer-Empresa Brasileira de Aeronautica,3450000000.00,49000.27,3
Large,Very Large,01/07/2023,MMC,Finance,NYSE,"Marsh & McLennan Companies, Inc.",41270000000.00,99552.77,1
Medium,Large,01/07/2023,VEC,Consumer Services,NYSE,"Vectrus, Inc.",340820000.00,74215.39,4
Large,Medium,01/07/2023,COL,Capital Goods,NYSE,"Rockwell Collins, Inc.",17430000000.00,48555.71,5
Large,Large,01/07/2023,IPXL,Health Care,NASDAQ,"Impax Laboratories, Inc.",1020000000.00,73831.61,3
Huge,Small,01/07/2023,GOOGL,Technology,NASDAQ,Alphabet Inc.,663120000000.00,777.75,3
Large,Medium,01/07/2023,YY,Technology,NASDAQ,YY Inc.,3060000000.00,49705.78,1
Medium,Medium,01/07/2023,CDXC,Consumer Durables,NASDAQ,ChromaDex Corporation,153950000.00,49959.02,1
Large,Large,01/07/2023,EGO,Basic Industries,NYSE,Eldorado Gold Corporation,1970000000.00,73819.66,4
Medium,Small,01/07/2023,HEQ,n/a,NYSE,John Hancock Hedged Equity & Income Fund,206260000.00,24803.62,1
Small,Small,01/07/2023,CARZ,n/a,NASDAQ,First Trust NASDAQ Global Auto Index Fund,18490000.00,23374.58,5
Large,Small,01/07/2023,AMD,Technology,NASDAQ,"Advanced Micro Devices, Inc.",10810000000.00,23948.95,4
Large,Large,01/07/2023,AMN,Technology,NYSE,AMN Healthcare Services Inc,1730000000.00,73791.51,5
Small,Small,01/07/2023,ELON,Technology,NASDAQ,Echelon Corporation,24700000.00,24556.81,1
Medium,Large,01/07/2023,ASIX,Basic Industries,NYSE,AdvanSix Inc.,897420000.00,74236.29,3
Large,Large,01/07/2023,LOW,Consumer Services,NYSE,"Lowe's Companies, Inc.",67370000000.00,74938.25,1
Medium,Medium,01/07/2023,SP,Consumer Services,NASDAQ,SP Plus Corporation,676910000.00,48915.80,5
Small,Medium,01/07/2023,SEED,Consumer Non-Durables,NASDAQ,Origin Agritech Limited,32450000.00,48603.15,1
Medium,Very Large,01/07/2023,GNMA,n/a,NASDAQ,iShares GNMA Bond ETF,174890000.00,99605.26,1
Large,Very Large,01/07/2023,OFC,Consumer Services,NYSE,Corporate Office Properties Trust,3520000000.00,98696.05,2
Huge,Medium,01/07/2023,JNJ,Health Care,NYSE,Johnson & Johnson,361920000000.00,49062.01,1
Large,Small,01/07/2023,RGEN,Health Care,NASDAQ,Repligen Corporation,1300000000.00,24717.29,2
Medium,Medium,01/07/2023,AMRC,Basic Industries,NYSE,"Ameresco, Inc.",308890000.00,49549.41,2
Large,Very Large,01/07/2023,VONG,n/a,NASDAQ,Vanguard Russell 1000 Growth ETF,1180000000.00,98462.08,4
Large,Medium,01/07/2023,GKOS,Health Care,NYSE,Glaukos Corporation,1390000000.00,49704.57,2
Medium,Very Large,01/07/2023,CCXI,Health Care,NASDAQ,"ChemoCentryx, Inc.",351670000.00,98401.54,5
Small,Small,01/07/2023,IFEU,n/a,NASDAQ,iShares FTSE EPRA/NAREIT Europe Index Fund,42370000.00,24134.77,2
Huge,Very Large,01/07/2023,MMM,Health Care,NYSE,3M Company,127360000000.00,91660.76,4
Small,Medium,01/07/2023,GNVC,Health Care,NASDAQ,"GenVec, Inc.",16350000.00,46929.79,3
Small,Very Large,01/07/2023,HOTR,Consumer Services,NASDAQ,"Chanticleer Holdings, Inc.",6310000.00,99399.76,2
Medium,Large,01/07/2023,IEUS,n/a,NASDAQ,iShares MSCI Europe Small-Cap ETF,126720000.00,74170.42,5
Small,Very Large,01/07/2023,TRIL,Health Care,NASDAQ,Trillium Therapeutics Inc.,49000000.00,99022.19,4
Huge,Very Large,01/07/2023,AAPL,Technology,NASDAQ,Apple Inc.,741770000000.00,97064.12,1
Medium,Large,01/07/2023,OBSV,Health Care,NASDAQ,ObsEva SA,161490000.00,74303.37,2
Small,Large,01/07/2023,MSBF,Finance,NASDAQ,MSB Financial Corp.,99400000.00,69252.63,3
Small,Large,01/07/2023,ESG,n/a,NASDAQ,FlexShares STOXX US ESG Impact Index Fund,8610000.00,73317.95,2
Medium,Large,01/07/2023,MG,Consumer Services,NYSE,Mistras Group Inc,617060000.00,74883.88,1
Small,Very Large,01/07/2023,DWAQ,n/a,NASDAQ,PowerShares DWA NASDAQ Momentum Portfolio,35540000.00,99843.63,1
Small,Small,01/07/2023,AMTX,Basic Industries,NASDAQ,"Aemetis, Inc",29540000.00,23845.56,4
Medium,Small,01/07/2023,JP,Consumer Services,NYSE,Jupai Holdings Limited,258290000.00,23788.26,3
Huge,Very Large,01/07/2023,PM,Consumer Non-Durables,NYSE,Philip Morris International Inc,189230000000.00,95224.24,3
Huge,Large,01/07/2023,BABA,Miscellaneous,NYSE,Alibaba Group Holding Limited,341220000000.00,55867.43,2
Huge,Very Large,01/07/2023,HSBC,Finance,NYSE,HSBC Holdings plc,176430000000.00,95720.42,2
Small,Medium,01/07/2023,MBRX,Health Care,NASDAQ,"Moleculin Biotech, Inc.",14380000.00,48281.66,2
Huge,Medium,01/07/2023,HD,Consumer Services,NYSE,"Home Depot, Inc. (The)",187270000000.00,37792.97,2
Medium,Small,01/07/2023,MCA,n/a,NYSE,"Blackrock MuniYield California Insured Fund, Inc.",517810000.00,23827.85,2
Huge,Large,01/07/2023,GOOGL,Technology,NASDAQ,Alphabet Inc.,663120000000.00,52801.45,5
Large,Small,01/07/2023,CXW,Consumer Services,NYSE,"CoreCivic, Inc.",3310000000.00,23832.09,5
Large,Very Large,01/07/2023,NEU,Basic Industries,NYSE,NewMarket Corporation,5530000000.00,98668.88,3
Medium,Very Large,01/07/2023,HK,Energy,NYSE,Halcon Resources Corporation,660530000.00,99073.46,4
Medium,Medium,01/07/2023,JHG,Finance,NYSE,Janus Henderson Group plc,367060000.00,49000.83,4
Huge,Large,01/07/2023,MMM,Health Care,NYSE,3M Company,127360000000.00,53387.28,4
Small,Large,01/07/2023,PPSI,Consumer Durables,NASDAQ,"Pioneer Power Solutions, Inc.",56680000.00,67168.20,4
Large,Small,01/07/2023,MRC,Capital Goods,NYSE,MRC Global Inc.,1630000000.00,24936.74,1
Large,Small,01/07/2023,MFA,Consumer Services,NYSE,"MFA Financial, Inc.",3200000000.00,24664.50,3
Medium,Very Large,01/07/2023,LDR,Capital Goods,NYSE,"Landauer, Inc.",513320000.00,99523.50,2
Small,Large,01/07/2023,SITO,Miscellaneous,NASDAQ,"SITO Mobile, Ltd.",71560000.00,74604.41,1
Small,Medium,01/07/2023,YTEN,Basic Industries,NASDAQ,"Yield10 Bioscience, Inc.",1440000.00,46925.56,4
Large,Very Large,01/08/2023,HI,Consumer Durables,NYSE,Hillenbrand Inc,2310000000.00,98467.47,2
Small,Large,01/08/2023,SGRP,Miscellaneous,NASDAQ,"SPAR Group, Inc.",21070000.00,72386.78,3
Huge,Small,01/08/2023,TSM,Technology,NYSE,Taiwan Semiconductor Manufacturing Company Ltd.,186020000000.00,18267.63,1
Medium,Medium,01/08/2023,GPM,n/a,NYSE,Guggenheim Enhanced Equity Income Fund,392460000.00,49627.77,3
Small,Large,01/08/2023,ESGE,n/a,NASDAQ,iShares MSCI EM ESG Optimized ETF,54380000.00,72167.02,4
Small,Small,01/08/2023,LTRX,Technology,NASDAQ,"Lantronix, Inc.",40450000.00,23764.09,3
Large,Large,01/08/2023,AMOV,Public Utilities,NYSE,"America Movil, S.A.B. de C.V.",51950000000.00,74705.70,4
Medium,Medium,01/08/2023,KBWR,n/a,NASDAQ,PowerShares KBW Regional Banking Portfolio,164430000.00,49979.91,1
Small,Medium,01/08/2023,AEHR,Capital Goods,NASDAQ,Aehr Test Systems,79320000.00,46857.85,4
Medium,Very Large,01/08/2023,ARDC,n/a,NYSE,"Ares Dynamic Credit Allocation Fund, Inc.",378210000.00,99728.76,3
Small,Very Large,01/08/2023,FCEL,Miscellaneous,NASDAQ,"FuelCell Energy, Inc.",65530000.00,96915.59,4
Small,Small,01/08/2023,HUNT,Transportation,NASDAQ,Hunter Maritime Acquisition Corp.,42180000.00,24912.09,1
Medium,Small,01/08/2023,TCI,Consumer Services,NYSE,"Transcontinental Realty Investors, Inc.",230240000.00,24356.24,2
Small,Large,01/08/2023,SLNO,Health Care,NASDAQ,"Soleno Therapeutics, Inc.",27600000.00,71520.66,5
Medium,Small,01/08/2023,CYAD,Health Care,NASDAQ,Celyad SA,445000000.00,22655.78,5
Large,Large,01/08/2023,IPG,Technology,NYSE,"Interpublic Group of Companies, Inc. (The)",9640000000.00,74769.34,2
Medium,Medium,01/08/2023,FGB,n/a,NYSE,First Trust Specialty Finance and Financial Opportunities Fund,103460000.00,48542.48,5
Huge,Small,01/08/2023,CVX,Energy,NYSE,Chevron Corporation,205280000000.00,13896.74,2
Small,Medium,01/08/2023,PFI,n/a,NASDAQ,PowerShares DWA Financial Momentum Portfolio,78450000.00,47030.96,3
Small,Large,01/08/2023,AKER,Health Care,NASDAQ,Akers Biosciences Inc,11120000.00,74400.39,2
Huge,Large,01/08/2023,JNJ,Health Care,NYSE,Johnson & Johnson,361920000000.00,65338.79,2
Small,Very Large,01/08/2023,URRE,Basic Industries,NASDAQ,"Uranium Resources, Inc.",34590000.00,96094.60,5
Small,Small,01/08/2023,ADHD,Health Care,NASDAQ,Alcobra Ltd.,30870000.00,24561.24,2
Large,Small,01/08/2023,XLRN,Health Care,NASDAQ,Acceleron Pharma Inc.,1150000000.00,23419.53,5
Large,Very Large,01/08/2023,BPY,Finance,NYSE,Brookfield Property Partners L.P.,5910000000.00,97134.54,4
Small,Large,01/08/2023,TIL,Finance,NASDAQ,Till Capital Ltd.,13150000.00,74684.52,1
Medium,Small,01/08/2023,ESPR,Health Care,NASDAQ,"Esperion Therapeutics, Inc.",754280000.00,24258.14,3
Medium,Very Large,01/08/2023,KEM,Capital Goods,NYSE,Kemet Corporation,651310000.00,99911.79,1
Small,Medium,01/08/2023,KOSS,Consumer Non-Durables,NASDAQ,Koss Corporation,14100000.00,47984.29,2
Small,Medium,01/08/2023,PSL,n/a,NASDAQ,PowerShares DWA Consumer Staples Momentum Portfolio,78330000.00,49205.79,1
Large,Large,01/08/2023,ERF,Energy,NYSE,Enerplus Corporation,1950000000.00,74734.78,3
Large,Medium,01/08/2023,ULTI,Technology,NASDAQ,"The Ultimate Software Group, Inc.",6350000000.00,49125.24,4
Large,Large,01/08/2023,GG,Basic Industries,NYSE,Goldcorp Inc.,11220000000.00,74783.80,1
Medium,Medium,01/08/2023,FPRX,Health Care,NASDAQ,"Five Prime Therapeutics, Inc.",809460000.00,49494.77,4
Medium,Medium,01/08/2023,LMIA,Capital Goods,NASDAQ,"LMI Aerospace, Inc.",191030000.00,49902.73,2
Huge,Large,01/08/2023,GOOG,Technology,NASDAQ,Alphabet Inc.,650090000000.00,66206.88,1
Large,Small,01/08/2023,IEP,Capital Goods,NASDAQ,Icahn Enterprises L.P.,8250000000.00,24014.97,4
Medium,Large,01/08/2023,HONE,Finance,NASDAQ,"HarborOne Bancorp, Inc.",655590000.00,72839.67,2
Large,Medium,01/08/2023,APPF,Technology,NASDAQ,"AppFolio, Inc.",1080000000.00,49842.73,1
Small,Very Large,01/08/2023,HFBL,Finance,NASDAQ,"Home Federal Bancorp, Inc. of Louisiana",48460000.00,99258.91,1
Medium,Large,01/08/2023,BSL,n/a,NYSE,Blackstone GSO Senior Floating Rate Term Fund,271310000.00,72701.83,3
Medium,Large,01/08/2023,PHD,n/a,NYSE,Pioneer Floating Rate Trust,293390000.00,71810.27,5
Large,Very Large,01/08/2023,MTOR,Capital Goods,NYSE,"Meritor, Inc.",1410000000.00,98657.98,1
Medium,Very Large,01/08/2023,BGX,n/a,NYSE,Blackstone GSO Long Short Credit Income Fund,207430000.00,98834.66,5
Large,Medium,01/08/2023,BRKR,Capital Goods,NASDAQ,Bruker Corporation,4430000000.00,49245.38,3
Large,Small,01/08/2023,GPS,Consumer Services,NYSE,"Gap, Inc. (The)",9060000000.00,24067.34,3
Large,Medium,01/08/2023,JWN,Consumer Services,NYSE,"Nordstrom, Inc.",7890000000.00,48812.10,5
Huge,Large,01/08/2023,WMT,Consumer Services,NYSE,"Wal-Mart Stores, Inc.",226810000000.00,62430.20,3
Huge,Very Large,01/08/2023,HD,Consumer Services,NYSE,"Home Depot, Inc. (The)",187270000000.00,95429.11,1
Small,Very Large,01/08/2023,VBFC,Finance,NASDAQ,Village Bank and Trust Financial Corp.,44250000.00,97956.95,3
Medium,Large,01/08/2023,CLDT,Consumer Services,NYSE,Chatham Lodging Trust (REIT),776550000.00,74196.58,1
Large,Very Large,01/08/2023,INFY,Technology,NYSE,Infosys Limited,33530000000.00,96898.17,5
Small,Small,01/08/2023,THLD,Health Care,NASDAQ,"Threshold Pharmaceuticals, Inc.",27590000.00,23467.85,4
Large,Medium,01/08/2023,MWA,Capital Goods,NYSE,MUELLER WATER PRODUCTS,1830000000.00,49246.68,2
Small,Medium,01/08/2023,TGA,Energy,NASDAQ,Transglobe Energy Corp,92420000.00,45874.74,5
Medium,Very Large,01/08/2023,CCM,Health Care,NYSE,Concord Medical Services Holdings Limited,153070000.00,99535.36,4
Medium,Small,01/08/2023,PHH,Finance,NYSE,PHH Corp,743070000.00,24410.07,1
Large,Large,01/08/2023,JRVR,Finance,NASDAQ,"James River Group Holdings, Ltd.",1180000000.00,74618.92,5
Medium,Very Large,01/08/2023,VCRA,Consumer Durables,NYSE,"Vocera Communications, Inc.",763420000.00,99808.72,2
Small,Small,01/08/2023,DWLV,n/a,NASDAQ,PowerShares DWA Momentum & Low Volatility Rotation Portfolio,4200000.00,22142.47,5
Small,Very Large,01/08/2023,STPP,Finance,NASDAQ,iPath US Treasury Steepener ETN,3250000.00,98186.87,2
Huge,Medium,01/08/2023,HON,Capital Goods,NYSE,Honeywell International Inc.,102630000000.00,32373.73,1
Medium,Small,01/08/2023,IDE,n/a,NYSE,"Voya Infrastructure, Industrials and Materials Fund",296890000.00,24036.38,4
Large,Small,01/08/2023,BSM,Energy,NYSE,"Black Stone Minerals, L.P.",3000000000.00,24381.90,1
Large,Very Large,01/08/2023,ONCE,Health Care,NASDAQ,"Spark Therapeutics, Inc.",1820000000.00,98247.23,3
Medium,Large,01/08/2023,IDRA,Health Care,NASDAQ,"Idera Pharmaceuticals, Inc.",237150000.00,72016.13,4
Large,Small,01/08/2023,SEP,Public Utilities,NYSE,"Spectra Energy Partners, LP",13130000000.00,24372.21,2
Small,Very Large,01/09/2023,CTHR,Consumer Durables,NASDAQ,Charles & Colvard Ltd,19680000.00,97881.35,4
Large,Small,01/09/2023,EUFN,n/a,NASDAQ,iShares MSCI Europe Financials Sector Index Fund,1150000000.00,24556.43,1
Small,Large,01/09/2023,DWCH,Technology,NASDAQ,Datawatch Corporation,96200000.00,72721.30,4
Small,Very Large,01/09/2023,AVNW,Technology,NASDAQ,"Aviat Networks, Inc.",93710000.00,99898.79,1
Small,Small,01/09/2023,LRAD,Consumer Non-Durables,NASDAQ,LRAD Corporation,51200000.00,22730.57,3
Large,Very Large,01/09/2023,FSV,Finance,NASDAQ,FirstService Corporation,2150000000.00,99263.34,3
Large,Small,01/09/2023,INGR,Consumer Non-Durables,NYSE,Ingredion Incorporated,8520000000.00,23822.65,4
Large,Medium,01/09/2023,PAC,Transportation,NYSE,"Grupo Aeroportuario Del Pacifico, S.A. de C.V.",5930000000.00,48934.53,5
Large,Very Large,01/09/2023,KLIC,Technology,NASDAQ,"Kulicke and Soffa Industries, Inc.",1460000000.00,99897.54,2
Small,Small,01/09/2023,OLD,n/a,NASDAQ,The Long-Term Care ETF,2700000.00,24207.47,2
Medium,Large,01/09/2023,VRAY,Health Care,NASDAQ,"ViewRay, Inc.",370120000.00,74986.67,1
Large,Medium,01/09/2023,EMR,Energy,NYSE,Emerson Electric Company,39110000000.00,49494.66,1
Large,Medium,01/09/2023,EEQ,Energy,NYSE,Enbridge Energy Management LLC,1270000000.00,48995.54,3
Large,Medium,01/09/2023,NTAP,Technology,NASDAQ,"NetApp, Inc.",10290000000.00,49109.01,2
Medium,Small,01/09/2023,AFB,n/a,NYSE,Alliance National Municipal Income Fund Inc,392940000.00,24020.67,2
Huge,Large,01/09/2023,HD,Consumer Services,NYSE,"Home Depot, Inc. (The)",187270000000.00,67055.91,2
Small,Large,01/09/2023,AEY,Consumer Services,NASDAQ,"ADDvantage Technologies Group, Inc.",16610000.00,73252.86,2
Medium,Medium,01/09/2023,FOMX,Consumer Durables,NASDAQ,Foamix Pharmaceuticals Ltd.,164160000.00,48955.83,2
Medium,Medium,01/09/2023,FMCI,Finance,NASDAQ,Forum Merger Corporation,217090000.00,49603.22,1
Huge,Very Large,01/09/2023,GSK,Health Care,NYSE,GlaxoSmithKline PLC,107750000000.00,94009.24,1
