,Category,Function/Method/Concept,year,week,_merge
918,Pandas - File I/O,Read Excel files (dynamic sheets),2021.0,50.0,both
919,Pandas - Joining,```merge```,2021.0,50.0,both
920,Pandas - Other,```assign```,2021.0,50.0,both
921,Pandas - Other,```astype```,2021.0,50.0,both
922,Pandas - Other,"```fillna```, ```ffill```, ```bfill```",2021.0,50.0,both
923,Pandas - Other,"```shift```, ```diff```",2021.0,50.0,both
924,Pandas - Other,```sort_values```,2021.0,50.0,both
925,Pandas - Reshaping,```melt```,2021.0,50.0,both
926,Pandas - Reshaping,"```transpose```, ```T```",2021.0,50.0,in regex match
927,Pandas - Selection/slicing,```drop```,2021.0,50.0,both
928,Pandas - Selection/slicing,slicing a DataFrame,2021.0,50.0,both
929,String Functions,Count matches,2021.0,50.0,in regex match
930,String Functions,String slicing,2021.0,50.0,in regex match
931,numpy,```where```,2021.0,50.0,both
932,Other,Function,2021.0,51.0,both
933,Other,Function (recursive),2021.0,51.0,in regex match
934,Other,list/dict comprehension,2021.0,51.0,both
935,Pandas - Aggregation,Named Aggregation,2021.0,51.0,both
936,Pandas - Dates,```read_csv``` or ```read_excel``` with parse_dates,2021.0,51.0,both
937,Pandas - Joining,```merge```,2021.0,51.0,in regex match
938,Pandas - Other,```astype```,2021.0,51.0,both
939,Pandas - Other,```sort_values```,2021.0,51.0,both
940,Pandas - Reshaping,```extract```,2021.0,51.0,both
941,Pandas - Reshaping,"```transpose```, ```T```",2021.0,51.0,in regex match
942,Pandas - Selection/slicing,slicing a DataFrame,2021.0,51.0,both
943,Rounding,Basic,2021.0,51.0,both
944,String Functions,"Changing case (```upper```, ```lower```, ```title```, etc.)",2021.0,51.0,both
945,String Functions,Count matches,2021.0,51.0,in regex match
946,String Functions,```replace```,2021.0,51.0,in regex match
947,String Functions,String slicing,2021.0,51.0,in regex match
948,numpy,```where```,2021.0,51.0,in regex match
949,Other,Function,,,in regex match
950,Other,Function,,,in regex match
951,Other,Function,,,in regex match
952,Other,Function (recursive),,,in regex match
953,Other,Function (recursive),,,in regex match
954,Other,Function (recursive),,,in regex match
955,Pandas - Aggregation,Named Aggregation,,,in regex match
956,Pandas - Aggregation,Named Aggregation,,,in regex match
957,Pandas - Aggregation,Named Aggregation,,,in regex match
958,Pandas - Aggregation,Named Aggregation,,,in regex match
959,Pandas - Dates,```read_csv``` or ```read_excel``` with parse_dates,,,in regex match
960,Pandas - Dates,```read_csv``` or ```read_excel``` with parse_dates,,,in regex match
961,Pandas - Other,```factorize```,,,in regex match
962,Pandas - Other,```factorize```,,,in regex match
963,Pandas - Other,```sort_values```,,,in regex match
964,Pandas - Other,```sort_values```,,,in regex match
965,Pandas - Other,```sort_values```,,,in regex match
966,Rounding,Basic,,,in regex match
967,Rounding,Basic,,,in regex match
968,Rounding,Basic,,,in regex match
969,numpy,```where```,,,in regex match
970,numpy,```where```,,,in regex match
971,numpy,```where```,,,in regex match
972,String Functions,```join```,,,in regex match
973,Pandas - Aggregation,Named Aggregation,2021.0,52.0,in regex match
974,Pandas - Aggregation,```transform```,2021.0,52.0,both
975,Pandas - File I/O,Read Excel files,2021.0,52.0,both
976,Pandas - File I/O,Read Excel files (dynamic sheets),2021.0,52.0,in regex match
977,Pandas - Joining,```merge```,2021.0,52.0,both
978,Pandas - Other,```assign```,2021.0,52.0,both
979,Pandas - Other,"```fillna```, ```ffill```, ```bfill```",2021.0,52.0,both
980,Pandas - Reshaping,```explode```,2021.0,52.0,both
981,Pandas - Reshaping,"```transpose```, ```T```",2021.0,52.0,in regex match
982,String Functions,"Changing case (```upper```, ```lower```, ```title```, etc.)",2021.0,52.0,both
983,String Functions,Count matches,2021.0,52.0,in regex match
984,String Functions,```findall```,2021.0,52.0,both
985,String Functions,```join```,2021.0,52.0,both
986,String Functions,```strip```,2021.0,52.0,both
987,Other,list/dict comprehension,2022.0,1.0,in regex match
988,Pandas - Dates,```read_csv``` or ```read_excel``` with parse_dates,2022.0,1.0,both
989,Pandas - Reshaping,"```transpose```, ```T```",2022.0,1.0,in regex match
990,String Functions,Count matches,2022.0,1.0,in regex match
991,String Functions,String slicing,2022.0,1.0,in regex match
992,numpy,```where```,2022.0,1.0,both
993,Other,list/dict comprehension,2022.0,2.0,in regex match
994,Other,Mapping values with dictionary,2022.0,2.0,both
995,Pandas - Aggregation,```transform```,2022.0,2.0,both
996,Pandas - Dates,"Dateparts (```dt.month```, ```dt.quarter```, etc.)",2022.0,2.0,both
997,Pandas - Dates,```read_csv``` or ```read_excel``` with parse_dates,2022.0,2.0,both
998,Pandas - Other,"```apply```, ```map```",2022.0,2.0,both
999,Pandas - Reshaping,"```transpose```, ```T```",2022.0,2.0,in regex match
1000,String Functions,Count matches,2022.0,2.0,in regex match
1001,String Functions,```replace```,2022.0,2.0,in regex match
1002,String Functions,String slicing,2022.0,2.0,in regex match
1003,Pandas - Aggregation,Named Aggregation,2022.0,3.0,both
1004,Pandas - Joining,```merge```,2022.0,3.0,both
1005,Pandas - Other,```assign```,2022.0,3.0,both
1006,Pandas - Reshaping,```melt```,2022.0,3.0,both
1007,Pandas - Reshaping,"```transpose```, ```T```",2022.0,3.0,in regex match
1008,Rounding,Basic,2022.0,3.0,both
1009,String Functions,Count matches,2022.0,3.0,in regex match
1010,String Functions,String slicing,2022.0,3.0,in regex match
1011,Other,Mapping values with dictionary,,,in regex match
1012,Pandas - Aggregation,```transform```,,,in regex match
1013,Other,Mapping values with dictionary,2022.0,4.0,both
1014,Pandas - Aggregation,Named Aggregation,2022.0,4.0,both
1015,Pandas - Aggregation,```transform```,2022.0,4.0,both
1016,Pandas - Joining,```merge```,2022.0,4.0,both
1017,Pandas - Other,```assign```,2022.0,4.0,both
1018,Pandas - Reshaping,```melt```,2022.0,4.0,both
1019,Pandas - Reshaping,"```transpose```, ```T```",2022.0,4.0,in regex match
1020,Rounding,Basic,2022.0,4.0,both
1021,String Functions,Count matches,2022.0,4.0,in regex match
1022,String Functions,```replace```,2022.0,4.0,both
1023,String Functions,String slicing,2022.0,4.0,in regex match
1024,numpy,```where```,2022.0,4.0,both
1025,Other,f strings / format,2022.0,5.0,in regex match
1026,Other,list/dict comprehension,2022.0,5.0,in regex match
1027,Other,Mapping values with dictionary,2022.0,5.0,both
1028,Pandas - Aggregation,```rank```,2022.0,5.0,both
1029,Pandas - Aggregation,```transform```,2022.0,5.0,both
1030,Pandas - Other,"```cut```, ```qcut```",2022.0,5.0,both
1031,Pandas - Reshaping,```melt```,2022.0,5.0,both
1032,Pandas - Reshaping,"```transpose```, ```T```",2022.0,5.0,in regex match
1033,Pandas - Selection/slicing,slicing a DataFrame,2022.0,5.0,both
1034,String Functions,Count matches,2022.0,5.0,in regex match
1035,String Functions,```replace```,2022.0,5.0,in regex match
1036,String Functions,String slicing,2022.0,5.0,in regex match
1037,Other,```decimal``` module,2022.0,6.0,both
1038,Pandas - Aggregation,Named Aggregation,2022.0,6.0,both
1039,Pandas - Aggregation,```rank```,2022.0,6.0,both
1040,Pandas - File I/O,Read Excel files,2022.0,6.0,both
1041,Pandas - Joining,```merge```,2022.0,6.0,both
1042,Pandas - Other,"```apply```, ```map```",2022.0,6.0,both
1043,Pandas - Other,```assign```,2022.0,6.0,both
1044,Pandas - Other,```astype```,2022.0,6.0,both
1045,Pandas - Reshaping,```explode```,2022.0,6.0,both
1046,Pandas - Reshaping,```extract```,2022.0,6.0,both
1047,Pandas - Reshaping,"```transpose```, ```T```",2022.0,6.0,in regex match
1048,Rounding,Basic,2022.0,6.0,both
1049,String Functions,"Changing case (```upper```, ```lower```, ```title```, etc.)",2022.0,6.0,both
1050,String Functions,Count matches,2022.0,6.0,in regex match
1051,String Functions,```findall```,2022.0,6.0,both
1052,String Functions,```split```,2022.0,6.0,both
1053,String Functions,String slicing,2022.0,6.0,in regex match
1054,numpy,```where```,2022.0,6.0,in regex match
1055,Other,list/dict comprehension,2022.0,7.0,in regex match
1056,Other,Loops,2022.0,7.0,in regex match
1057,Pandas - Dates,```to_datetime```,2022.0,7.0,both
1058,Pandas - File I/O,Read Excel files,2022.0,7.0,both
1059,Pandas - File I/O,Read Excel files (dynamic sheets),2022.0,7.0,both
1060,Pandas - Joining,```concat```,2022.0,7.0,both
1061,Pandas - Joining,```merge```,2022.0,7.0,both
1062,Pandas - Other,```assign```,2022.0,7.0,both
1063,Pandas - Other,```astype```,2022.0,7.0,both
1064,Pandas - Reshaping,```extract```,2022.0,7.0,both
1065,Pandas - Reshaping,"```transpose```, ```T```",2022.0,7.0,both
1066,Pandas - Selection/slicing,```drop```,2022.0,7.0,both
1067,Rounding,Basic,2022.0,7.0,both
1068,String Functions,Count matches,2022.0,7.0,in regex match
1069,String Functions,```replace```,2022.0,7.0,in regex match
1070,String Functions,String slicing,2022.0,7.0,in regex match
1071,numpy,```where```,2022.0,7.0,both
1072,Pandas - File I/O,Read Excel files,2022.0,8.0,both
1073,Pandas - File I/O,Read Excel files (dynamic sheets),2022.0,8.0,in regex match
1074,Pandas - Joining,```merge```,2022.0,8.0,both
1075,Pandas - Reshaping,```melt```,2022.0,8.0,both
1076,Pandas - Reshaping,"```transpose```, ```T```",2022.0,8.0,in regex match
1077,Pandas - Selection/slicing,```drop```,2022.0,8.0,both
1078,Pandas - Selection/slicing,```query```,2022.0,8.0,both
1079,Pandas - Selection/slicing,slicing a DataFrame,2022.0,8.0,both
1080,String Functions,Count matches,2022.0,8.0,in regex match
1081,String Functions,String slicing,2022.0,8.0,in regex match
1082,numpy,```where```,2022.0,8.0,both
1083,Pandas - Aggregation,Named Aggregation,2022.0,9.0,both
1084,Pandas - Aggregation,```transform```,2022.0,9.0,both
1085,Pandas - File I/O,Read Excel files,2022.0,9.0,both
1086,Pandas - File I/O,Read Excel files (dynamic sheets),2022.0,9.0,in regex match
1087,Pandas - Joining,```merge```,2022.0,9.0,both
1088,Pandas - Other,```assign```,2022.0,9.0,both
1089,Pandas - Other,```astype```,2022.0,9.0,both
1090,Pandas - Other,"```shift```, ```diff```",2022.0,9.0,both
1091,Pandas - Other,```sort_values```,2022.0,9.0,both
1092,Pandas - Reshaping,"```transpose```, ```T```",2022.0,9.0,in regex match
1093,Pandas - Selection/slicing,```drop```,2022.0,9.0,both
1094,Pandas - Selection/slicing,```query```,2022.0,9.0,both
1095,String Functions,Count matches,2022.0,9.0,in regex match
1096,String Functions,String slicing,2022.0,9.0,in regex match
1097,numpy,```where```,2022.0,9.0,both
1098,Other,Mapping values with dictionary,2022.0,10.0,both
1099,Pandas - File I/O,Read Excel files,2022.0,10.0,both
1100,Pandas - File I/O,Read Excel files (dynamic sheets),2022.0,10.0,in regex match
1101,Pandas - Joining,```concat```,2022.0,10.0,both
1102,Pandas - Other,"```apply```, ```map```",2022.0,10.0,in regex match
1103,Pandas - Other,```sort_values```,2022.0,10.0,both
1104,Pandas - Reshaping,```extract```,2022.0,10.0,both
1105,Pandas - Reshaping,```melt```,2022.0,10.0,both
1106,Pandas - Reshaping,"```transpose```, ```T```",2022.0,10.0,in regex match
1107,Pandas - Selection/slicing,```drop```,2022.0,10.0,in regex match
1108,Pandas - Selection/slicing,```drop_duplicates```,2022.0,10.0,both
1109,Pandas - Selection/slicing,```dropna```,2022.0,10.0,both
1110,Pandas - Selection/slicing,slicing a DataFrame,2022.0,10.0,in regex match
1111,String Functions,"Changing case (```upper```, ```lower```, ```title```, etc.)",2022.0,10.0,both
1112,String Functions,Count matches,2022.0,10.0,in regex match
1113,String Functions,```replace```,2022.0,10.0,both
1114,String Functions,String slicing,2022.0,10.0,in regex match
1115,Pandas - Aggregation,```transform```,2022.0,11.0,both
1116,Pandas - Other,```assign```,2022.0,11.0,both
1117,Pandas - Other,"```fillna```, ```ffill```, ```bfill```",2022.0,11.0,both
1118,Pandas - Other,```sort_values```,2022.0,11.0,both
1119,Pandas - Reshaping,"```transpose```, ```T```",2022.0,11.0,in regex match
1120,String Functions,Count matches,2022.0,11.0,in regex match
1121,String Functions,String slicing,2022.0,11.0,in regex match
1122,Other,list/dict comprehension,2022.0,12.0,both
1123,Other,Loops,2022.0,12.0,in regex match
1124,Pandas - Dates,```to_datetime```,2022.0,12.0,both
1125,Pandas - Joining,```concat```,2022.0,12.0,both
1126,Pandas - Other,```assign```,2022.0,12.0,both
1127,Pandas - Other,```astype```,2022.0,12.0,both
1128,Pandas - Other,"```fillna```, ```ffill```, ```bfill```",2022.0,12.0,both
1129,Pandas - Other,"```shift```, ```diff```",2022.0,12.0,both
1130,Pandas - Other,```sort_values```,2022.0,12.0,both
1131,Pandas - Reshaping,"```transpose```, ```T```",2022.0,12.0,in regex match
1132,Rounding,Basic,2022.0,12.0,both
1133,String Functions,Count matches,2022.0,12.0,in regex match
1134,String Functions,```join```,2022.0,12.0,in regex match
1135,String Functions,```replace```,2022.0,12.0,both
1136,String Functions,String slicing,2022.0,12.0,in regex match
1137,numpy,```where```,2022.0,12.0,both
1138,Other,list/dict comprehension,2022.0,13.0,in regex match
1139,Other,user input,2022.0,13.0,both
1140,Pandas - Aggregation,"Cumulative aggregation(```cumcount```, ```cumsum```, etc.)",2022.0,13.0,both
1141,Pandas - Other,```assign```,2022.0,13.0,both
1142,Pandas - Other,```sort_values```,2022.0,13.0,both
1143,Pandas - Reshaping,"```transpose```, ```T```",2022.0,13.0,in regex match
1144,Pandas - Selection/slicing,slicing a DataFrame,2022.0,13.0,both
1145,Rounding,Basic,2022.0,13.0,both
1146,String Functions,Count matches,2022.0,13.0,in regex match
1147,String Functions,```replace```,2022.0,13.0,both
1148,String Functions,String slicing,2022.0,13.0,in regex match
1149,Pandas - Aggregation,"Boolean aggregation(```any```, ```all```)",2022.0,14.0,both
1150,Pandas - Aggregation,```rank```,2022.0,14.0,both
1151,Pandas - Aggregation,```transform```,2022.0,14.0,both
1152,Pandas - Other,```assign```,2022.0,14.0,both
1153,Pandas - Other,```astype```,2022.0,14.0,both
1154,Pandas - Reshaping,"```transpose```, ```T```",2022.0,14.0,in regex match
1155,Pandas - Selection/slicing,```drop```,2022.0,14.0,both
1156,Pandas - Selection/slicing,```query```,2022.0,14.0,both
1157,String Functions,Count matches,2022.0,14.0,in regex match
1158,String Functions,String slicing,2022.0,14.0,both
1159,Other,list/dict comprehension,2022.0,15.0,both
1160,Other,Loops,2022.0,15.0,in regex match
1161,Other,```zip```,2022.0,15.0,both
1162,Pandas - Aggregation,"Cumulative aggregation(```cumcount```, ```cumsum```, etc.)",2022.0,15.0,both
1163,Pandas - Aggregation,```transform```,2022.0,15.0,both
1164,Pandas - Dates,"```DateOffset```, ```offsets```",2022.0,15.0,in regex match
1165,Pandas - Dates,"Dateparts (```dt.month```, ```dt.quarter```, etc.)",2022.0,15.0,both
1166,Pandas - Dates,```date_range```,2022.0,15.0,in regex match
1167,Pandas - Dates,```to_datetime```,2022.0,15.0,in regex match
1168,Pandas - Dates,```to_period```,2022.0,15.0,both
1169,Pandas - File I/O,Read Excel files,2022.0,15.0,both
1170,Pandas - File I/O,Read Excel files (dynamic sheets),2022.0,15.0,in regex match
1171,Pandas - Joining,```merge```,2022.0,15.0,both
1172,Pandas - Other,```assign```,2022.0,15.0,both
1173,Pandas - Reshaping,```explode```,2022.0,15.0,both
1174,Pandas - Reshaping,"```transpose```, ```T```",2022.0,15.0,in regex match
1175,String Functions,Count matches,2022.0,15.0,in regex match
1176,String Functions,```replace```,2022.0,15.0,in regex match
1177,String Functions,String slicing,2022.0,15.0,in regex match
1178,numpy,```where```,2022.0,15.0,both
1179,Other,list/dict comprehension,2022.0,16.0,both
1180,Other,Loops,2022.0,16.0,in regex match
1181,Other,Mapping values with dictionary,2022.0,16.0,both
1182,Pandas - Aggregation,"Boolean aggregation(```any```, ```all```)",2022.0,16.0,in regex match
1183,Pandas - File I/O,Read Excel files,2022.0,16.0,both
1184,Pandas - File I/O,Read Excel files (dynamic sheets),2022.0,16.0,in regex match
1185,Pandas - Joining,```merge```,2022.0,16.0,both
1186,Pandas - Other,```assign```,2022.0,16.0,both
1187,Pandas - Other,"```fillna```, ```ffill```, ```bfill```",2022.0,16.0,both
1188,Pandas - Reshaping,```extract```,2022.0,16.0,both
1189,Pandas - Reshaping,```melt```,2022.0,16.0,both
1190,Pandas - Reshaping,"```pivot```, ```pivot_table```",2022.0,16.0,in regex match
1191,Pandas - Reshaping,"```transpose```, ```T```",2022.0,16.0,in regex match
1192,Pandas - Selection/slicing,```drop```,2022.0,16.0,both
1193,Pandas - Selection/slicing,```dropna```,2022.0,16.0,both
1194,String Functions,Count matches,2022.0,16.0,in regex match
1195,String Functions,```join```,2022.0,16.0,both
1196,String Functions,```match```,2022.0,16.0,both
1197,String Functions,```replace```,2022.0,16.0,in regex match
1198,String Functions,String slicing,2022.0,16.0,in regex match
1199,numpy,```where```,2022.0,16.0,both
1200,Other,list/dict comprehension,2022.0,17.0,in regex match
1201,Other,Mapping values with dictionary,2022.0,17.0,both
1202,Pandas - Aggregation,```transform```,2022.0,17.0,both
1203,Pandas - Dates,```read_csv``` or ```read_excel``` with parse_dates,2022.0,17.0,in regex match
1204,Pandas - Dates,"working with timezones (```tz_localize```, etc.)",2022.0,17.0,both
1205,Pandas - File I/O,Read Excel files,2022.0,17.0,both
1206,Pandas - File I/O,Read Excel files (dynamic sheets),2022.0,17.0,in regex match
1207,Pandas - Joining,```merge```,2022.0,17.0,both
1208,Pandas - Other,```assign```,2022.0,17.0,both
1209,Pandas - Other,```astype```,2022.0,17.0,both
1210,Pandas - Reshaping,"```transpose```, ```T```",2022.0,17.0,in regex match
1211,Pandas - Selection/slicing,```drop```,2022.0,17.0,both
1212,String Functions,Count matches,2022.0,17.0,in regex match
1213,String Functions,```replace```,2022.0,17.0,in regex match
1214,String Functions,String slicing,2022.0,17.0,in regex match
1215,numpy,```where```,2022.0,17.0,both
1216,Pandas - Dates,```to_datetime```,2022.0,18.0,both
1217,Pandas - Reshaping,```extract```,2022.0,18.0,both
1218,Pandas - Reshaping,```melt```,2022.0,18.0,both
1219,Pandas - Reshaping,"```pivot```, ```pivot_table```",2022.0,18.0,in regex match
1220,Pandas - Reshaping,"```transpose```, ```T```",2022.0,18.0,in regex match
1221,String Functions,Count matches,2022.0,18.0,in regex match
1222,Other,Mapping values with dictionary,2022.0,19.0,both
1223,Pandas - Aggregation,Named Aggregation,2022.0,19.0,both
1224,Pandas - File I/O,Read Excel files,2022.0,19.0,both
1225,Pandas - File I/O,Read Excel files (dynamic sheets),2022.0,19.0,in regex match
1226,Pandas - Joining,```merge```,2022.0,19.0,both
1227,Pandas - Other,```astype```,2022.0,19.0,both
1228,Pandas - Reshaping,"```transpose```, ```T```",2022.0,19.0,in regex match
1229,Pandas - Selection/slicing,slicing a DataFrame,2022.0,19.0,both
1230,String Functions,Count matches,2022.0,19.0,in regex match
1231,String Functions,```replace```,2022.0,19.0,both
1232,String Functions,String slicing,2022.0,19.0,in regex match
1233,Other,Mapping values with dictionary,2022.0,20.0,both
1234,Pandas - Aggregation,```transform```,2022.0,20.0,both
1235,Pandas - File I/O,Read Excel files,2022.0,20.0,both
1236,Pandas - File I/O,Read Excel files (dynamic sheets),2022.0,20.0,in regex match
1237,Pandas - Joining,```concat```,2022.0,20.0,both
1238,Pandas - Joining,```merge```,2022.0,20.0,both
1239,Pandas - Reshaping,```extract```,2022.0,20.0,both
1240,Pandas - Reshaping,"```transpose```, ```T```",2022.0,20.0,in regex match
1241,Pandas - Selection/slicing,slicing a DataFrame,2022.0,20.0,both
1242,Rounding,Basic,2022.0,20.0,both
1243,String Functions,"Changing case (```upper```, ```lower```, ```title```, etc.)",2022.0,20.0,both
1244,String Functions,Count matches,2022.0,20.0,in regex match
1245,String Functions,```replace```,2022.0,20.0,in regex match
1246,String Functions,String slicing,2022.0,20.0,in regex match
1247,numpy,```where```,2022.0,20.0,both
1248,Other,list/dict comprehension,2022.0,21.0,in regex match
1249,Other,Loops,2022.0,21.0,in regex match
1250,Pandas - File I/O,Read Excel files,2022.0,21.0,in regex match
1251,Pandas - File I/O,Read Excel files (dynamic sheets),2022.0,21.0,both
1252,Pandas - Joining,```concat```,2022.0,21.0,both
1253,Pandas - Other,```assign```,2022.0,21.0,both
1254,Pandas - Other,```astype```,2022.0,21.0,both
1255,Pandas - Other,"```fillna```, ```ffill```, ```bfill```",2022.0,21.0,in regex match
1256,Pandas - Reshaping,```melt```,2022.0,21.0,both
1257,Pandas - Reshaping,"```pivot```, ```pivot_table```",2022.0,21.0,in regex match
1258,Pandas - Reshaping,"```transpose```, ```T```",2022.0,21.0,in regex match
1259,Pandas - Selection/slicing,```dropna```,2022.0,21.0,both
1260,Pandas - Selection/slicing,```query```,2022.0,21.0,both
1261,String Functions,"```contains```, ```startswith```, ```endswith```",2022.0,21.0,both
1262,String Functions,Count matches,2022.0,21.0,in regex match
1263,String Functions,```replace```,2022.0,21.0,both
1264,String Functions,String slicing,2022.0,21.0,both
1265,numpy,```where```,2022.0,21.0,both
1266,Charts,```matplotlib```,2022.0,22.0,both
1267,Other,Mapping values with dictionary,2022.0,22.0,both
1268,Pandas - File I/O,Read Excel files,2022.0,22.0,both
1269,Pandas - File I/O,Read Excel files (dynamic sheets),2022.0,22.0,in regex match
1270,Pandas - Joining,```merge_asof```,2022.0,22.0,both
1271,Pandas - Other,```assign```,2022.0,22.0,both
1272,Pandas - Other,```astype```,2022.0,22.0,both
1273,Pandas - Other,```sort_values```,2022.0,22.0,both
1274,Pandas - Reshaping,```explode```,2022.0,22.0,both
1275,Pandas - Reshaping,"```transpose```, ```T```",2022.0,22.0,in regex match
1276,Pandas - Selection/slicing,```drop```,2022.0,22.0,both
1277,Pandas - Selection/slicing,```drop_duplicates```,2022.0,22.0,both
1278,Pandas - Selection/slicing,```query```,2022.0,22.0,both
1279,String Functions,Count matches,2022.0,22.0,in regex match
1280,String Functions,```replace```,2022.0,22.0,both
1281,String Functions,```split```,2022.0,22.0,both
1282,String Functions,String slicing,2022.0,22.0,in regex match
1283,String Functions,```strip```,2022.0,22.0,both
1284,numpy,```where```,2022.0,22.0,both
1285,Pandas - Joining,```concat```,2022.0,23.0,both
1286,Pandas - Other,```assign```,2022.0,23.0,both
1287,Pandas - Reshaping,"```transpose```, ```T```",2022.0,23.0,in regex match
1288,String Functions,"```contains```, ```startswith```, ```endswith```",2022.0,23.0,in regex match
1289,String Functions,Count matches,2022.0,23.0,in regex match
1290,numpy,```where```,2022.0,23.0,in regex match
1291,Other,list/dict comprehension,2022.0,24.0,in regex match
1292,Pandas - Aggregation,```rank```,2022.0,24.0,both
1293,Pandas - Dates,```read_csv``` or ```read_excel``` with parse_dates,2022.0,24.0,both
1294,Pandas - File I/O,Read Excel files,2022.0,24.0,both
1295,Pandas - File I/O,Read Excel files (dynamic sheets),2022.0,24.0,in regex match
1296,Pandas - Joining,```merge```,2022.0,24.0,both
1297,Pandas - Other,```astype```,2022.0,24.0,both
1298,Pandas - Reshaping,```extract```,2022.0,24.0,both
1299,Pandas - Reshaping,"```transpose```, ```T```",2022.0,24.0,in regex match
1300,Pandas - Selection/slicing,```drop```,2022.0,24.0,both
1301,String Functions,Count matches,2022.0,24.0,in regex match
1302,String Functions,```replace```,2022.0,24.0,both
1303,String Functions,String slicing,2022.0,24.0,in regex match
1304,Other,Function,2022.0,27.0,both
1305,Other,Function (recursive),2022.0,27.0,in regex match
1306,Other,list/dict comprehension,2022.0,27.0,in regex match
1307,Other,Loops,2022.0,27.0,both
1308,Pandas - Aggregation,Named Aggregation,2022.0,27.0,both
1309,Pandas - Dates,```read_csv``` or ```read_excel``` with parse_dates,2022.0,27.0,both
1310,Pandas - Other,```astype```,2022.0,27.0,both
1311,Pandas - Reshaping,```extract```,2022.0,27.0,both
1312,Pandas - Reshaping,"```transpose```, ```T```",2022.0,27.0,in regex match
1313,Pandas - Selection/slicing,```drop```,2022.0,27.0,both
1314,Pandas - Selection/slicing,slicing a DataFrame,2022.0,27.0,both
1315,String Functions,Count matches,2022.0,27.0,in regex match
1316,String Functions,```replace```,2022.0,27.0,in regex match
1317,String Functions,String slicing,2022.0,27.0,in regex match
1318,numpy,```where```,2022.0,27.0,both
1319,Other,list/dict comprehension,2022.0,28.0,both
1320,Other,sets,2022.0,28.0,both
1321,Pandas - Dates,"Dateparts (```dt.month```, ```dt.quarter```, etc.)",2022.0,28.0,in regex match
1322,Pandas - Dates,```date_range```,2022.0,28.0,both
1323,Pandas - Dates,```read_csv``` or ```read_excel``` with parse_dates,2022.0,28.0,both
1324,Pandas - Other,```astype```,2022.0,28.0,both
1325,Pandas - Reshaping,"```transpose```, ```T```",2022.0,28.0,in regex match
1326,Pandas - Selection/slicing,slicing a DataFrame,2022.0,28.0,in regex match
1327,String Functions,Count matches,2022.0,28.0,in regex match
1328,String Functions,String slicing,2022.0,28.0,in regex match
1329,Pandas - Joining,```merge```,2022.0,29.0,both
1330,Pandas - Other,```assign```,2022.0,29.0,both
1331,Pandas - Reshaping,```extract```,2022.0,29.0,both
1332,Pandas - Reshaping,```melt```,2022.0,29.0,both
1333,Pandas - Reshaping,"```transpose```, ```T```",2022.0,29.0,in regex match
1334,Pandas - Selection/slicing,```drop```,2022.0,29.0,in regex match
1335,String Functions,"Changing case (```upper```, ```lower```, ```title```, etc.)",2022.0,29.0,both
1336,String Functions,Count matches,2022.0,29.0,in regex match
1337,String Functions,String slicing,2022.0,29.0,in regex match
1338,Other,list/dict comprehension,2022.0,30.0,in regex match
1339,Other,Loops,2022.0,30.0,in regex match
1340,Other,Mapping values with dictionary,2022.0,30.0,in regex match
1341,Other,```zip```,2022.0,30.0,in regex match
1342,Pandas - Joining,```concat```,2022.0,30.0,in regex match
1343,Pandas - Joining,```merge```,2022.0,30.0,in regex match
1344,Pandas - Other,```assign```,2022.0,30.0,in regex match
1345,Pandas - Reshaping,"```transpose```, ```T```",2022.0,30.0,in regex match
1346,Pandas - Selection/slicing,```drop```,2022.0,30.0,in regex match
1347,String Functions,Count matches,2022.0,30.0,in regex match
1348,String Functions,String slicing,2022.0,30.0,in regex match
1349,Other,Function,2022.0,31.0,in regex match
1350,Other,Function (recursive),2022.0,31.0,in regex match
1351,Other,list/dict comprehension,2022.0,31.0,in regex match
1352,Other,Loops,2022.0,31.0,in regex match
1353,Other,user input,2022.0,31.0,in regex match
1354,Pandas - Aggregation,```rank```,2022.0,31.0,in regex match
1355,Pandas - Reshaping,```extract```,2022.0,31.0,in regex match
1356,Pandas - Reshaping,"```transpose```, ```T```",2022.0,31.0,in regex match
1357,Pandas - Selection/slicing,slicing a DataFrame,2022.0,31.0,in regex match
1358,Rounding,Basic,2022.0,31.0,in regex match
1359,String Functions,"```contains```, ```startswith```, ```endswith```",2022.0,31.0,in regex match
1360,String Functions,Count matches,2022.0,31.0,in regex match
1361,String Functions,```join```,2022.0,31.0,in regex match
1362,String Functions,String slicing,2022.0,31.0,in regex match
1363,Other,list/dict comprehension,2022.0,32.0,in regex match
1364,Other,Loops,2022.0,32.0,in regex match
1365,Pandas - Aggregation,"Cumulative aggregation(```cumcount```, ```cumsum```, etc.)",2022.0,32.0,in regex match
1366,Pandas - Aggregation,```transform```,2022.0,32.0,in regex match
1367,Pandas - Dates,"```DateOffset```, ```offsets```",2022.0,32.0,in regex match
1368,Pandas - Dates,```date_range```,2022.0,32.0,in regex match
1369,Pandas - Other,```assign```,2022.0,32.0,in regex match
1370,Pandas - Other,```sort_values```,2022.0,32.0,in regex match
1371,Pandas - Reshaping,```explode```,2022.0,32.0,in regex match
1372,Pandas - Reshaping,"```transpose```, ```T```",2022.0,32.0,in regex match
1373,String Functions,Count matches,2022.0,32.0,in regex match
1374,String Functions,```replace```,2022.0,32.0,in regex match
1375,String Functions,String slicing,2022.0,32.0,in regex match
1376,numpy,"```ceil```, ```floor```",2022.0,32.0,in regex match
