Flight Details,Flow Card?,Bags Checked,Meal Type
2024-05-29//PA007//New York-Perth//Business Class//439.19999999999999,1,1,Nut Free
2024-05-06//PA007//New York-Perth//Premium Economy//710,0,2,None
2024-08-21//PA003//London-Perth//Economy//1220,1,3,Vegetarian
2024-11-04//PA011//Perth-Tokyo//Premium Economy//1520,0,2,None
2024-11-17//PA007//New York-Perth//Premium Economy//1255,0,0,Nut Free
2024-12-22//PA004//Perth-London//Economy//1395,0,3,Vegan
2024-03-03//PA005//London-Tokyo//Economy//1225,1,0,None
2024-05-22//PA003//London-Perth//Economy//3415,1,0,Nut Free
2024-02-19//PA005//London-Tokyo//Economy//2600,0,0,Dairy Free
2024-10-01//PA012//Tokyo-Perth//First Class//518,0,2,Nut Free
2024-08-08//PA004//Perth-London//First Class//604,1,2,Nut Free
2024-12-20//PA009//New York-Tokyo//Business Class//424.80000000000001,1,3,Egg Free
2024-06-14//PA011//Perth-Tokyo//Economy//1545,1,1,Nut Free
2024-02-08//PA010//Tokyo-New York//Economy//1895,0,3,Vegan
2024-06-12//PA001//London-New York//Premium Economy//1540,0,0,Vegan
2024-03-08//PA009//New York-Tokyo//Economy//2355,1,3,Vegan
2024-05-19//PA004//Perth-London//Premium Economy//1540,1,0,None
2024-01-25//PA010//Tokyo-New York//Economy//1200,0,2,Nut Free
2024-04-21//PA009//New York-Tokyo//Premium Economy//1315,1,2,Egg Free
2024-11-20//PA004//Perth-London//Business Class//818.39999999999998,1,1,Vegan
2024-07-17//PA004//Perth-London//Economy//1735,0,2,Vegetarian
2024-10-10//PA007//New York-Perth//Premium Economy//1110,1,3,None
2024-09-26//PA009//New York-Tokyo//Economy//1350,1,3,Vegetarian
2024-12-09//PA012//Tokyo-Perth//Premium Economy//1515,0,0,Egg Free
2024-02-13//PA005//London-Tokyo//Premium Economy//685,1,3,Nut Free
2024-01-09//PA010//Tokyo-New York//First Class//252,0,2,None
2024-01-27//PA010//Tokyo-New York//First Class//348,1,2,Dairy Free
2024-09-26//PA002//New York-London//Business Class//246,0,0,Vegetarian
2024-02-17//PA001//London-New York//Business Class//397.19999999999999,1,2,Vegan
2024-05-13//PA007//New York-Perth//First Class//205,0,3,Vegan
2024-01-31//PA005//London-Tokyo//Business Class//806.39999999999998,1,2,Nut Free
2024-02-26//PA003//London-Perth//Economy//2320,0,1,Egg Free
2024-06-11//PA012//Tokyo-Perth//Business Class//678,0,1,Vegan
2024-11-13//PA006//Tokyo-London//Premium Economy//1440,1,0,Vegan
2024-10-28//PA003//London-Perth//Premium Economy//557.5,0,3,Egg Free
2024-03-21//PA011//Perth-Tokyo//Premium Economy//502.5,1,0,Vegetarian
2024-09-06//PA002//New York-London//Business Class//320.39999999999998,0,3,Egg Free
2024-06-07//PA008//Perth-New York//Premium Economy//1572.5,1,2,Egg Free
2024-03-29//PA008//Perth-New York//First Class//240,0,2,Vegetarian
2024-07-18//PA006//Tokyo-London//Economy//1450,1,1,Vegan
2024-01-06//PA003//London-Perth//Business Class//324,1,2,Dairy Free
2024-02-02//PA003//London-Perth//Business Class//578.39999999999998,1,2,Nut Free
2024-12-29//PA011//Perth-Tokyo//Business Class//273.59999999999997,1,3,Egg Free
2024-09-23//PA009//New York-Tokyo//Business Class//619.19999999999993,1,3,Vegetarian
2024-02-25//PA002//New York-London//Premium Economy//725,1,1,Vegetarian
2024-08-27//PA010//Tokyo-New York//Business Class//639.60000000000002,0,2,Vegetarian
2024-09-29//PA007//New York-Perth//Premium Economy//1480,0,1,Dairy Free
2024-08-02//PA001//London-New York//Premium Economy//1077.5,0,1,Dairy Free
2024-04-04//PA012//Tokyo-Perth//Economy//2420,1,2,Vegan
2024-04-27//PA001//London-New York//Premium Economy//1045,1,0,Nut Free
2024-05-15//PA007//New York-Perth//Premium Economy//850,1,2,Vegan
2024-05-03//PA008//Perth-New York//Business Class//589.19999999999993,0,3,Nut Free
2024-09-28//PA010//Tokyo-New York//Business Class//396,1,3,None
2024-01-22//PA007//New York-Perth//Economy//1350,1,3,Vegan
2024-11-03//PA008//Perth-New York//Premium Economy//1205,0,0,Vegetarian
2024-09-18//PA006//Tokyo-London//Business Class//570,0,2,Egg Free
2024-06-01//PA009//New York-Tokyo//Economy//3270,0,3,Vegan
2024-03-18//PA004//Perth-London//Premium Economy//702.5,1,3,Vegan
2024-07-21//PA008//Perth-New York//First Class//543,1,2,Vegan
2024-07-15//PA012//Tokyo-Perth//Premium Economy//1422.5,1,2,Nut Free
2024-01-27//PA007//New York-Perth//Economy//2300,0,3,Nut Free
2024-07-26//PA005//London-Tokyo//First Class//578,1,1,Dairy Free
2024-02-24//PA005//London-Tokyo//Premium Economy//1560,1,3,Dairy Free
2024-03-02//PA012//Tokyo-Perth//Business Class//271.19999999999999,1,3,Egg Free
2024-12-20//PA006//Tokyo-London//Business Class//409.19999999999999,0,2,None
2024-11-05//PA005//London-Tokyo//Business Class//453.59999999999997,0,1,Vegetarian
2024-07-29//PA001//London-New York//Business Class//441.59999999999997,0,3,Nut Free
2024-12-05//PA002//New York-London//Business Class//732,0,1,None
2024-11-02//PA002//New York-London//Economy//2465,0,1,Egg Free
2024-08-22//PA007//New York-Perth//First Class//415,0,2,Vegetarian
2024-12-26//PA003//London-Perth//Premium Economy//787.5,1,2,Vegetarian
2024-10-07//PA008//Perth-New York//Economy//2235,0,1,Nut Free
2024-04-07//PA006//Tokyo-London//Economy//2885,1,1,Dairy Free
2024-10-22//PA004//Perth-London//First Class//548,0,0,Vegetarian
2024-01-19//PA010//Tokyo-New York//Business Class//728.39999999999998,1,1,Dairy Free
2024-02-11//PA009//New York-Tokyo//Premium Economy//1412.5,0,3,None
2024-08-29//PA008//Perth-New York//First Class//366,1,1,None
2024-11-12//PA002//New York-London//First Class//553,1,0,None
2024-04-20//PA003//London-Perth//Business Class//654,1,0,Vegetarian
2024-04-29//PA006//Tokyo-London//Economy//1450,0,1,Vegetarian
2024-10-14//PA007//New York-Perth//Economy//1170,1,3,Vegan
2024-09-14//PA004//Perth-London//Economy//2565,1,1,Dairy Free
2024-02-19//PA010//Tokyo-New York//Premium Economy//1297.5,1,2,None
2024-05-03//PA010//Tokyo-New York//Business Class//388.80000000000001,0,1,Dairy Free
2024-09-29//PA007//New York-Perth//Economy//1580,0,3,Vegetarian
2024-02-26//PA007//New York-Perth//First Class//255,0,2,None
2024-10-13//PA005//London-Tokyo//Business Class//409.19999999999999,0,1,Vegan
2024-08-17//PA009//New York-Tokyo//Economy//1125,1,0,Vegetarian
2024-10-08//PA005//London-Tokyo//First Class//239,1,3,None
2024-04-04//PA011//Perth-Tokyo//Premium Economy//1457.5,1,0,None
2024-11-28//PA010//Tokyo-New York//First Class//327,0,0,Vegetarian
2024-09-28//PA002//New York-London//Economy//1025,0,0,Vegan
2024-03-21//PA002//New York-London//Business Class//799.19999999999993,0,1,Vegetarian
2024-05-20//PA003//London-Perth//Economy//1935,1,0,Vegan
2024-10-16//PA012//Tokyo-Perth//Premium Economy//1012.5,0,2,Vegan
2024-05-05//PA007//New York-Perth//Economy//2995,0,1,Nut Free
2024-12-24//PA004//Perth-London//Business Class//819.60000000000002,0,3,None
2024-08-24//PA008//Perth-New York//Business Class//326.39999999999998,1,3,Dairy Free
2024-03-17//PA001//London-New York//Business Class//432,0,1,Vegetarian
2024-06-07//PA011//Perth-Tokyo//First Class//668,0,2,Nut Free
2024-11-24//PA009//New York-Tokyo//Premium Economy//570,0,2,Dairy Free
2024-10-27//PA006//Tokyo-London//Economy//2955,0,0,None
2024-05-31//PA008//Perth-New York//First Class//601,1,3,Vegan
2024-02-18//PA011//Perth-Tokyo//Premium Economy//595,1,1,Nut Free
2024-06-29//PA003//London-Perth//First Class//675,0,2,Egg Free
2024-03-25//PA007//New York-Perth//Economy//1930,0,2,Nut Free
2024-08-17//PA005//London-Tokyo//Economy//1895,1,0,Egg Free
2024-03-27//PA001//London-New York//Economy//1630,1,1,Nut Free
2024-11-28//PA006//Tokyo-London//Economy//1065,0,2,Vegetarian
2024-12-13//PA009//New York-Tokyo//Economy//1760,0,3,None
2024-05-26//PA010//Tokyo-New York//Economy//1815,0,3,Vegetarian
2024-07-15//PA011//Perth-Tokyo//Premium Economy//1147.5,0,1,Vegetarian
2024-05-18//PA009//New York-Tokyo//Premium Economy//1377.5,0,3,Dairy Free
2024-09-19//PA005//London-Tokyo//Economy//2605,0,0,Vegan
2024-01-07//PA002//New York-London//Premium Economy//1227.5,1,3,Vegan
2024-07-09//PA001//London-New York//Business Class//351.59999999999997,1,3,Vegan
2024-03-09//PA011//Perth-Tokyo//First Class//224,0,2,None
2024-01-04//PA007//New York-Perth//Business Class//756,0,2,Vegan
2024-12-26//PA011//Perth-Tokyo//First Class//328,0,2,Vegetarian
2024-12-11//PA001//London-New York//Premium Economy//997.5,0,2,Nut Free
2024-05-03//PA009//New York-Tokyo//Economy//3160,0,1,Dairy Free
2024-04-06//PA008//Perth-New York//Business Class//751.19999999999993,0,3,Egg Free
2024-11-23//PA011//Perth-Tokyo//Economy//2440,0,3,Nut Free
2024-10-19//PA006//Tokyo-London//First Class//256,0,3,Nut Free
2024-01-16//PA010//Tokyo-New York//Business Class//777.60000000000002,1,3,Nut Free
2024-09-05//PA002//New York-London//First Class//267,1,3,Dairy Free
2024-01-02//PA010//Tokyo-New York//Business Class//572.39999999999998,1,0,Vegan
2024-02-15//PA004//Perth-London//Economy//1460,0,2,Dairy Free
2024-11-16//PA011//Perth-Tokyo//Premium Economy//1180,1,0,None
2024-02-10//PA012//Tokyo-Perth//Economy//1745,1,2,Vegan
2024-01-15//PA002//New York-London//Economy//1560,0,0,Egg Free
2024-06-29//PA005//London-Tokyo//First Class//617,1,3,Nut Free
2024-01-05//PA004//Perth-London//Business Class//463.19999999999999,0,0,Nut Free
2024-03-10//PA002//New York-London//Premium Economy//725,1,1,Vegan
2024-08-19//PA010//Tokyo-New York//Business Class//452.39999999999998,1,0,Dairy Free
2024-03-06//PA003//London-Perth//First Class//629,0,0,Vegetarian
2024-10-14//PA010//Tokyo-New York//First Class//331,1,2,None
2024-08-14//PA011//Perth-Tokyo//Economy//1355,1,0,Vegetarian
2024-09-29//PA007//New York-Perth//Economy//3460,1,3,None
2024-06-21//PA005//London-Tokyo//First Class//238,1,3,Vegan
2024-05-08//PA005//London-Tokyo//First Class//671,0,1,Egg Free
2024-01-03//PA004//Perth-London//First Class//620,1,2,None
2024-03-08//PA007//New York-Perth//First Class//248,0,2,Nut Free
2024-12-11//PA005//London-Tokyo//First Class//237,0,0,Dairy Free
2024-01-06//PA006//Tokyo-London//First Class//222,0,2,Nut Free
2024-04-16//PA006//Tokyo-London//Business Class//410.39999999999998,0,0,Nut Free
2024-11-30//PA004//Perth-London//Economy//3225,1,2,None
2024-04-30//PA001//London-New York//Economy//2925,1,2,Vegetarian
2024-11-23//PA001//London-New York//Business Class//772.79999999999995,1,3,Dairy Free
2024-10-27//PA003//London-Perth//Premium Economy//1055,0,3,Nut Free
2024-08-23//PA003//London-Perth//Premium Economy//1237.5,0,0,Egg Free
2024-06-16//PA005//London-Tokyo//Economy//1445,0,3,Vegan
2024-07-03//PA003//London-Perth//Premium Economy//555,1,2,Egg Free
2024-07-27//PA011//Perth-Tokyo//Business Class//687.60000000000002,0,1,None
2024-12-26//PA012//Tokyo-Perth//First Class//690,0,2,Egg Free
2024-06-13//PA004//Perth-London//Premium Economy//1377.5,0,2,Nut Free
2024-11-05//PA002//New York-London//Premium Economy//1030,1,1,Egg Free
2024-12-05//PA001//London-New York//Economy//2335,0,3,Vegan
2024-04-02//PA008//Perth-New York//Business Class//466.79999999999995,0,3,Vegetarian
2024-06-26//PA003//London-Perth//Business Class//241.19999999999999,1,2,Vegetarian
2024-12-13//PA007//New York-Perth//Business Class//784.79999999999995,0,1,Vegan
2024-10-20//PA001//London-New York//First Class//579,0,1,Nut Free
2024-03-16//PA005//London-Tokyo//Business Class//734.39999999999998,1,2,Vegan
2024-01-06//PA001//London-New York//Business Class//727.19999999999993,1,2,Nut Free
2024-10-09//PA003//London-Perth//Economy//3220,0,1,None
2024-01-26//PA004//Perth-London//First Class//524,1,0,Egg Free
2024-08-25//PA011//Perth-Tokyo//Economy//2985,1,1,Vegetarian
2024-10-11//PA005//London-Tokyo//Economy//1675,1,3,Vegetarian
2024-03-30//PA012//Tokyo-Perth//Business Class//272.39999999999998,1,3,None
2024-05-07//PA010//Tokyo-New York//Economy//1610,0,2,None
2024-02-04//PA012//Tokyo-Perth//Business Class//712.79999999999995,0,2,Nut Free
2024-02-06//PA002//New York-London//Business Class//589.19999999999993,1,1,Vegetarian
2024-08-01//PA006//Tokyo-London//Business Class//789.60000000000002,1,0,None
2024-12-28//PA009//New York-Tokyo//Economy//2705,1,3,Dairy Free
2024-06-11//PA006//Tokyo-London//Business Class//711.60000000000002,0,2,Egg Free
2024-12-16//PA005//London-Tokyo//First Class//238,0,2,Egg Free
2024-08-06//PA012//Tokyo-Perth//Business Class//442.80000000000001,1,3,Nut Free
2024-08-09//PA001//London-New York//Premium Economy//657.5,0,0,Vegetarian
2024-11-17//PA012//Tokyo-Perth//Premium Economy//1585,1,1,Vegetarian
2024-05-25//PA004//Perth-London//First Class//212,0,1,None
2024-07-13//PA002//New York-London//First Class//664,0,0,Vegan
2024-08-17//PA003//London-Perth//Business Class//532.79999999999995,1,2,Nut Free
2024-09-22//PA011//Perth-Tokyo//Economy//2035,1,0,Vegetarian
2024-10-24//PA003//London-Perth//Premium Economy//1037.5,1,1,Nut Free
2024-03-31//PA004//Perth-London//Economy//1340,0,0,Dairy Free
2024-11-28//PA012//Tokyo-Perth//Business Class//588,1,2,Nut Free
2024-03-20//PA003//London-Perth//First Class//303,1,0,None
2024-08-13//PA004//Perth-London//Business Class//606,1,2,Dairy Free
2024-03-01//PA008//Perth-New York//First Class//471,1,2,Nut Free
2024-05-22//PA004//Perth-London//First Class//670,1,0,Dairy Free
2024-02-29//PA008//Perth-New York//Business Class//387.59999999999997,1,2,Egg Free
2024-11-11//PA003//London-Perth//Business Class//270,0,3,Nut Free
2024-01-22//PA006//Tokyo-London//Business Class//447.59999999999997,0,0,Vegetarian
2024-04-21//PA012//Tokyo-Perth//Economy//1375,0,1,None
2024-09-12//PA002//New York-London//Economy//1925,0,1,Dairy Free
2024-05-28//PA010//Tokyo-New York//Premium Economy//720,1,1,None
2024-08-31//PA007//New York-Perth//Business Class//710.39999999999998,0,3,Nut Free
2024-11-16//PA007//New York-Perth//Economy//3425,0,1,Nut Free
2024-10-16//PA001//London-New York//Premium Economy//662.5,1,0,Egg Free
2024-05-07//PA008//Perth-New York//First Class//644,0,1,None
2024-09-25//PA006//Tokyo-London//First Class//514,0,3,Dairy Free
2024-12-17//PA007//New York-Perth//Economy//1295,1,1,Vegan
2024-06-13//PA001//London-New York//Economy//2920,0,3,Dairy Free
2024-01-17//PA010//Tokyo-New York//Premium Economy//1255,0,1,None
2024-07-26//PA009//New York-Tokyo//First Class//225,1,2,Vegan
2024-02-26//PA006//Tokyo-London//Business Class//696,0,2,Vegan
2024-12-18//PA004//Perth-London//Economy//3170,0,2,Vegan
2024-12-28//PA008//Perth-New York//Premium Economy//542.5,1,2,None
2024-09-20//PA005//London-Tokyo//Economy//2355,1,3,Egg Free
2024-12-25//PA006//Tokyo-London//First Class//443,0,2,Dairy Free
2024-11-02//PA010//Tokyo-New York//Premium Economy//1695,0,2,None
2024-10-02//PA006//Tokyo-London//Business Class//706.79999999999995,1,1,Vegan
2024-04-02//PA003//London-Perth//First Class//667,1,1,Vegan
2024-02-22//PA005//London-Tokyo//Economy//3360,0,2,Egg Free
2024-02-09//PA010//Tokyo-New York//First Class//680,1,1,Egg Free
2024-06-22//PA011//Perth-Tokyo//Business Class//820.79999999999995,0,0,Vegetarian
2024-09-03//PA009//New York-Tokyo//Business Class//369.59999999999997,1,2,Nut Free
2024-08-31//PA011//Perth-Tokyo//First Class//284,1,3,Egg Free
2024-03-18//PA006//Tokyo-London//First Class//651,0,2,Vegan
2024-01-21//PA001//London-New York//Business Class//552,1,3,Dairy Free
2024-08-10//PA006//Tokyo-London//First Class//234,1,3,Egg Free
2024-12-16//PA012//Tokyo-Perth//Premium Economy//552.5,1,2,Dairy Free
2024-04-04//PA002//New York-London//Business Class//304.80000000000001,1,0,Vegan
2024-05-12//PA012//Tokyo-Perth//Premium Economy//1290,0,3,Vegetarian
2024-10-13//PA009//New York-Tokyo//First Class//410,1,0,Dairy Free
2024-07-23//PA004//Perth-London//Business Class//688.79999999999995,0,1,Egg Free
2024-11-21//PA005//London-Tokyo//Economy//1665,1,0,Nut Free
2024-05-16//PA007//New York-Perth//Business Class//676.79999999999995,0,1,Dairy Free
2024-06-23//PA001//London-New York//Premium Economy//582.5,1,3,Nut Free
2024-04-30//PA004//Perth-London//Business Class//240,0,1,Dairy Free
2024-09-06//PA011//Perth-Tokyo//Premium Economy//710,1,1,Vegetarian
2024-02-21//PA003//London-Perth//Business Class//436.80000000000001,1,0,Egg Free
2024-09-20//PA012//Tokyo-Perth//Economy//2635,0,3,Vegetarian
2024-08-05//PA010//Tokyo-New York//Premium Economy//555,0,0,None
2024-10-08//PA011//Perth-Tokyo//Premium Economy//1360,1,1,Dairy Free
2024-06-01//PA012//Tokyo-Perth//First Class//647,0,2,Vegan
2024-04-15//PA006//Tokyo-London//Business Class//568.79999999999995,0,3,Egg Free
2024-01-11//PA002//New York-London//Economy//2705,0,2,Nut Free
2024-11-11//PA008//Perth-New York//Premium Economy//1332.5,1,3,Nut Free
2024-11-21//PA012//Tokyo-Perth//First Class//555,1,0,Nut Free
2024-06-08//PA009//New York-Tokyo//First Class//589,1,0,Vegan
2024-02-07//PA012//Tokyo-Perth//Premium Economy//750,0,1,Nut Free
2024-04-03//PA007//New York-Perth//Premium Economy//997.5,0,0,Vegan
2024-11-26//PA012//Tokyo-Perth//First Class//495,1,1,Dairy Free
2024-05-26//PA002//New York-London//Economy//3405,1,3,Vegetarian
2024-03-06//PA004//Perth-London//Economy//1130,0,0,Egg Free
2024-04-17//PA006//Tokyo-London//Business Class//550.79999999999995,1,2,Egg Free
2024-08-30//PA008//Perth-New York//Business Class//602.39999999999998,1,0,Nut Free
2024-01-06//PA007//New York-Perth//Premium Economy//1192.5,1,3,Egg Free
2024-01-20//PA009//New York-Tokyo//First Class//256,0,2,Vegetarian
2024-08-04//PA007//New York-Perth//Premium Economy//1235,1,1,Vegetarian
2024-09-05//PA001//London-New York//Economy//1930,0,0,Dairy Free
2024-05-28//PA006//Tokyo-London//First Class//507,1,2,None
2024-07-01//PA006//Tokyo-London//Business Class//477.59999999999997,0,1,None
2024-04-02//PA011//Perth-Tokyo//First Class//506,1,2,Dairy Free
2024-11-09//PA001//London-New York//Economy//1370,1,2,Vegan
2024-10-09//PA006//Tokyo-London//First Class//514,1,1,None
2024-04-15//PA010//Tokyo-New York//Economy//2935,0,2,Dairy Free
2024-12-18//PA010//Tokyo-New York//Business Class//362.39999999999998,1,3,Egg Free
2024-05-09//PA010//Tokyo-New York//Business Class//246,0,1,Egg Free
2024-12-31//PA001//London-New York//Premium Economy//615,1,0,Egg Free
2024-01-17//PA003//London-Perth//First Class//563,0,0,Vegan
2024-04-27//PA012//Tokyo-Perth//Economy//3190,0,1,Vegan
2024-05-11//PA012//Tokyo-Perth//Economy//3190,0,0,Vegetarian
2024-10-18//PA007//New York-Perth//Business Class//555.60000000000002,0,2,Vegan
2024-08-21//PA010//Tokyo-New York//First Class//421,1,1,None
2024-03-07//PA003//London-Perth//Premium Economy//1330,0,0,Egg Free
2024-06-10//PA001//London-New York//Premium Economy//925,0,2,Nut Free
2024-06-13//PA008//Perth-New York//First Class//632,1,1,Vegan
2024-12-04//PA005//London-Tokyo//First Class//256,1,0,Egg Free
2024-04-12//PA010//Tokyo-New York//Business Class//778.79999999999995,0,0,Vegan
2024-11-03//PA012//Tokyo-Perth//Premium Economy//1087.5,1,0,Vegetarian
2024-07-26//PA007//New York-Perth//Business Class//424.80000000000001,1,1,Egg Free
2024-11-29//PA007//New York-Perth//Premium Economy//882.5,1,0,None
2024-04-15//PA006//Tokyo-London//Premium Economy//1355,1,3,None
2024-12-13//PA003//London-Perth//Business Class//364.80000000000001,1,0,Nut Free
2024-11-04//PA009//New York-Tokyo//Economy//2045,1,0,Dairy Free
2024-02-22//PA008//Perth-New York//Economy//2390,0,2,Nut Free
2024-08-20//PA009//New York-Tokyo//First Class//505,1,3,Vegan
2024-08-17//PA009//New York-Tokyo//Economy//2525,1,3,Nut Free
2024-04-02//PA002//New York-London//Business Class//525.60000000000002,0,1,Vegan
2024-03-11//PA006//Tokyo-London//Business Class//764.39999999999998,0,2,None
2024-05-23//PA011//Perth-Tokyo//Business Class//697.19999999999993,1,2,Dairy Free
2024-08-25//PA003//London-Perth//Premium Economy//1207.5,1,0,Dairy Free
2024-03-22//PA012//Tokyo-Perth//Economy//1030,0,1,Vegetarian
2024-09-11//PA011//Perth-Tokyo//Economy//2905,0,3,Egg Free
2024-05-02//PA008//Perth-New York//Economy//1255,0,3,Vegetarian
2024-11-08//PA009//New York-Tokyo//Premium Economy//670,1,2,Vegetarian
2024-01-27//PA011//Perth-Tokyo//Business Class//289.19999999999999,1,2,Dairy Free
2024-02-07//PA004//Perth-London//First Class//583,1,2,Egg Free
2024-03-29//PA003//London-Perth//Premium Economy//1700,0,2,Vegetarian
2024-12-29//PA002//New York-London//Premium Economy//740,1,2,None
2024-06-25//PA005//London-Tokyo//Premium Economy//1032.5,0,0,Vegan
2024-01-22//PA008//Perth-New York//First Class//230,0,2,None
2024-04-23//PA006//Tokyo-London//Business Class//483.59999999999997,0,1,Vegetarian
2024-09-25//PA012//Tokyo-Perth//First Class//485,1,0,Vegan
2024-04-24//PA007//New York-Perth//First Class//673,1,3,Vegan
2024-10-25//PA005//London-Tokyo//Economy//3125,0,1,Vegan
2024-11-17//PA001//London-New York//Economy//2100,0,3,Vegan
2024-12-05//PA008//Perth-New York//Business Class//734.39999999999998,1,2,Vegetarian
2024-10-23//PA009//New York-Tokyo//Premium Economy//1500,0,3,Egg Free
2024-11-11//PA004//Perth-London//Economy//3405,1,2,Egg Free
2024-12-02//PA008//Perth-New York//First Class//288,1,0,Vegetarian
2024-07-14//PA005//London-Tokyo//Economy//2290,1,1,Egg Free
2024-12-05//PA010//Tokyo-New York//Premium Economy//932.5,0,1,Vegetarian
2024-05-26//PA011//Perth-Tokyo//Premium Economy//1542.5,0,2,Vegan
2024-06-13//PA005//London-Tokyo//Economy//1480,0,2,Vegan
2024-01-10//PA002//New York-London//Economy//3305,1,0,None
2024-12-28//PA012//Tokyo-Perth//First Class//241,0,1,Dairy Free
2024-06-04//PA007//New York-Perth//First Class//252,0,0,Dairy Free
2024-08-23//PA003//London-Perth//Economy//2455,1,1,Dairy Free
2024-10-06//PA001//London-New York//Economy//1615,0,3,Vegan
2024-02-22//PA009//New York-Tokyo//Premium Economy//507.5,1,1,Nut Free
2024-05-28//PA007//New York-Perth//First Class//584,1,1,Dairy Free
2024-01-04//PA011//Perth-Tokyo//Business Class//692.39999999999998,1,1,Vegan
2024-05-05//PA008//Perth-New York//First Class//352,0,1,None
2024-04-02//PA004//Perth-London//First Class//280,1,2,Vegan
2024-12-29//PA002//New York-London//Business Class//643.19999999999993,0,1,Vegetarian
2024-09-25//PA004//Perth-London//Business Class//321.59999999999997,1,3,None
2024-07-30//PA001//London-New York//Premium Economy//560,1,1,Vegan
2024-07-08//PA003//London-Perth//Premium Economy//1657.5,0,0,Vegan
2024-05-03//PA002//New York-London//First Class//627,0,2,Vegetarian
2024-03-29//PA012//Tokyo-Perth//Premium Economy//1475,0,1,None
2024-12-19//PA006//Tokyo-London//Business Class//529.19999999999993,1,3,Vegan
2024-10-11//PA005//London-Tokyo//First Class//633,1,0,None
2024-02-16//PA010//Tokyo-New York//Business Class//594,1,3,Vegan
2024-06-15//PA009//New York-Tokyo//Business Class//453.59999999999997,1,1,Egg Free
2024-12-16//PA006//Tokyo-London//Business Class//410.39999999999998,0,2,Nut Free
2024-09-03//PA006//Tokyo-London//Premium Economy//1352.5,0,0,Dairy Free
2024-06-17//PA010//Tokyo-New York//Premium Economy//1175,0,2,Dairy Free
2024-09-01//PA002//New York-London//Premium Economy//1320,0,1,Vegan
2024-10-11//PA011//Perth-Tokyo//Business Class//450,0,2,None
2024-02-06//PA005//London-Tokyo//Business Class//465.59999999999997,0,0,None
2024-06-21//PA008//Perth-New York//Business Class//511.19999999999999,0,1,Vegan
2024-08-16//PA001//London-New York//Business Class//549.60000000000002,0,2,Vegetarian
2024-09-04//PA007//New York-Perth//Business Class//595.19999999999993,0,3,Vegan
2024-10-20//PA003//London-Perth//Business Class//656.39999999999998,1,1,None
2024-04-19//PA001//London-New York//Premium Economy//1287.5,1,0,Vegan
2024-06-21//PA007//New York-Perth//Economy//1955,0,2,Vegetarian
2024-10-07//PA010//Tokyo-New York//First Class//583,1,3,Dairy Free
2024-12-12//PA011//Perth-Tokyo//Economy//1165,1,3,Vegetarian
2024-12-09//PA007//New York-Perth//Premium Economy//1170,1,2,Egg Free
2024-06-12//PA002//New York-London//First Class//453,0,3,None
2024-04-13//PA009//New York-Tokyo//Economy//2110,1,3,Dairy Free
2024-09-10//PA008//Perth-New York//Economy//2570,0,3,Vegetarian
2024-04-17//PA004//Perth-London//First Class//597,0,3,None
2024-03-02//PA001//London-New York//Premium Economy//1022.5,0,3,Dairy Free
2024-07-16//PA005//London-Tokyo//Economy//3340,0,1,Dairy Free
2024-10-03//PA011//Perth-Tokyo//Business Class//776.39999999999998,0,3,Nut Free
2024-01-16//PA003//London-Perth//Premium Economy//867.5,1,1,Egg Free
2024-12-10//PA012//Tokyo-Perth//First Class//314,0,2,Vegetarian
2024-11-12//PA008//Perth-New York//Economy//2700,0,0,Vegetarian
2024-03-11//PA004//Perth-London//Business Class//804,1,2,Vegan
2024-11-04//PA001//London-New York//Business Class//448.80000000000001,0,3,None
2024-07-15//PA007//New York-Perth//Business Class//735.60000000000002,0,1,Nut Free
2024-06-13//PA009//New York-Tokyo//First Class//519,1,2,Nut Free
2024-10-24//PA012//Tokyo-Perth//Business Class//700.79999999999995,1,0,Vegetarian
2024-03-31//PA001//London-New York//Business Class//553.19999999999993,1,2,Nut Free
2024-02-21//PA008//Perth-New York//Premium Economy//1505,1,2,Egg Free
2024-01-11//PA001//London-New York//First Class//440,0,3,Vegetarian
2024-04-07//PA005//London-Tokyo//Economy//2690,0,3,Vegan
2024-10-11//PA006//Tokyo-London//Business Class//704.39999999999998,1,2,Vegan
2024-12-15//PA005//London-Tokyo//Premium Economy//560,0,1,Vegan
2024-05-23//PA006//Tokyo-London//Premium Economy//1677.5,0,2,Vegan
2024-09-15//PA007//New York-Perth//Premium Economy//1112.5,0,1,Egg Free
2024-09-23//PA010//Tokyo-New York//Economy//2350,0,1,Vegetarian
2024-09-18//PA002//New York-London//First Class//630,1,2,None
2024-01-15//PA005//London-Tokyo//Economy//2660,0,2,None
2024-10-30//PA011//Perth-Tokyo//Economy//2280,0,3,Vegan
2024-12-04//PA003//London-Perth//First Class//333,0,1,Egg Free
2024-10-25//PA004//Perth-London//First Class//313,1,3,Egg Free
2024-02-04//PA005//London-Tokyo//Economy//3005,0,0,Vegan
2024-11-01//PA001//London-New York//Economy//2780,0,3,Egg Free
2024-09-15//PA005//London-Tokyo//First Class//655,1,0,Dairy Free
2024-01-09//PA012//Tokyo-Perth//Economy//2990,0,1,Nut Free
2024-04-19//PA002//New York-London//Business Class//423.59999999999997,1,1,Nut Free
2024-08-12//PA003//London-Perth//Premium Economy//920,0,0,Dairy Free
2024-04-25//PA004//Perth-London//First Class//238,0,1,None
