Bike Type,Store,Order Date,Quantity,Value per Bike,Shipping Date,Model
Gravel,York,01/02/2020,1,3560,21/02/2020,012SPEC93589
Gravel,Birmingham,05/11/2020,2,771,18/11/2020,943SPEC24920
Gravel,Manchester,30/01/2020,4,2832,07/02/2020,429SPEC21320
Mountain,Manchester,02/07/2020,4,1049,13/07/2020,942SPEC34350
Road,Birmingham,01/08/2020,1,3918,19/08/2020,120SPEC13500
Road,Manchester,22/09/2020,4,1752,07/10/2020,220SPEC12411
Gravel,Manchester,28/09/2020,4,1154,11/10/2020,012SPEC24030
Mountain,Leeds,06/07/2020,2,1576,07/07/2020,043SPEC12409
Road,London,01/02/2020,4,2239,07/02/2020,032SPEC29133
Road,Birmingham,01/08/2020,1,3346,07/08/2020,021SPEC01451
Road,York,29/05/2020,2,940,05/06/2020,102SPEC84232
Gravel,Manchester,01/03/2020,5,2784,02/03/2020,012SPEC93590
Road,Leeds,16/09/2020,3,3813,29/09/2020,943SPEC24921
Road,Manchester,17/09/2020,5,1605,20/09/2020,429SPEC21321
Mountain,York,08/08/2020,4,1163,23/08/2020,942SPEC34351
Gravel,Leeds,29/05/2020,2,992,12/06/2020,120SPEC13501
Gravel,Leeds,01/08/2020,2,1181,06/08/2020,220SPEC12412
Mountain,York,09/11/2020,2,2618,22/11/2020,012SPEC24031
Gravel,Manchester,07/11/2020,5,1656,11/11/2020,043SPEC12410
Gravel,Birmingham,15/06/2020,1,1442,17/06/2020,032SPEC29134
Road,Leeds,06/10/2020,4,2192,20/10/2020,021SPEC01452
Mountain,York,31/05/2020,2,1897,02/06/2020,102SPEC84233
Mountain,London,28/10/2020,1,2310,01/11/2020,012SPEC93591
Road,Manchester,27/05/2020,2,2017,09/06/2020,943SPEC24922
Road,London,11/03/2020,4,3441,29/03/2020,429SPEC21322
Mountain,London,06/09/2020,3,3892,25/09/2020,942SPEC34352
Gravel,Leeds,21/01/2020,5,3566,22/01/2020,120SPEC13502
Mountain,York,02/06/2020,3,1274,16/06/2020,220SPEC12413
Road,Leeds,25/05/2020,2,1686,10/06/2020,012SPEC24032
Road,London,13/02/2020,3,1728,25/02/2020,043SPEC12411
Road,Leeds,07/10/2020,5,3963,19/10/2020,032SPEC29135
Gravel,Birmingham,17/05/2020,5,1349,05/06/2020,021SPEC01453
Gravel,Manchester,09/05/2020,4,2763,29/05/2020,102SPEC84234
Road,Leeds,04/06/2020,2,3392,15/06/2020,012SPEC93592
Gravel,London,24/12/2020,2,2396,06/01/2021,943SPEC24923
Mountain,London,25/02/2020,2,2891,04/03/2020,429SPEC21323
Mountain,Manchester,13/01/2020,2,2187,02/02/2020,942SPEC34353
Road,York,05/07/2020,1,3465,25/07/2020,120SPEC13503
Mountain,Birmingham,25/09/2020,2,1232,28/09/2020,220SPEC12414
Road,Leeds,20/10/2020,4,1874,26/10/2020,012SPEC24033
Gravel,York,13/05/2020,2,1247,29/05/2020,043SPEC12412
Mountain,London,01/02/2020,1,3120,15/02/2020,032SPEC29136
Mountain,Manchester,03/06/2020,4,2724,19/06/2020,021SPEC01454
Gravel,Birmingham,08/07/2020,1,1912,11/07/2020,102SPEC84235
Mountain,York,25/09/2020,1,2619,02/10/2020,012SPEC93593
Gravel,London,06/09/2020,2,3618,13/09/2020,943SPEC24924
Road,London,09/12/2020,2,1636,16/12/2020,429SPEC21324
Road,Leeds,24/08/2020,2,2697,08/09/2020,942SPEC34354
Mountain,Birmingham,19/10/2020,5,984,23/10/2020,120SPEC13504
Mountain,Manchester,26/09/2020,2,1283,07/10/2020,220SPEC12415
Gravel,Leeds,29/04/2020,1,2286,07/05/2020,012SPEC24034
Mountain,Manchester,02/02/2020,4,1622,18/02/2020,043SPEC12413
Gravel,York,30/01/2020,3,2314,05/02/2020,032SPEC29137
Gravel,York,26/02/2020,1,2250,10/03/2020,021SPEC01455
Mountain,Leeds,28/03/2020,1,2539,30/03/2020,102SPEC84236
Mountain,York,07/09/2020,1,3713,26/09/2020,012SPEC93594
Road,Manchester,04/09/2020,3,1451,10/09/2020,943SPEC24925
Road,Birmingham,05/04/2020,3,1736,20/04/2020,429SPEC21325
Road,London,12/11/2020,3,3165,30/11/2020,942SPEC34355
Gravel,Birmingham,29/10/2020,2,3786,12/11/2020,120SPEC13505
Gravel,York,31/03/2020,5,3637,17/04/2020,220SPEC12416
Gravel,Manchester,07/09/2020,4,1977,19/09/2020,012SPEC24035
Gravel,Manchester,12/03/2020,1,1838,20/03/2020,043SPEC12414
Mountain,Leeds,24/12/2020,1,1961,03/01/2021,032SPEC29138
Mountain,London,05/02/2020,5,2240,25/02/2020,021SPEC01456
Mountain,Manchester,21/12/2020,5,3844,25/12/2020,102SPEC84237
Gravel,Birmingham,01/08/2020,2,3549,21/08/2020,012SPEC93595
Road,Birmingham,29/06/2020,3,2362,06/07/2020,943SPEC24926
Road,Birmingham,08/03/2020,4,3489,20/03/2020,429SPEC21326
Road,York,21/12/2020,3,3689,01/01/2021,942SPEC34356
Mountain,York,16/10/2020,2,1175,29/10/2020,120SPEC13506
Road,Birmingham,04/11/2020,5,1980,15/11/2020,220SPEC12417
Mountain,Manchester,18/07/2020,2,1716,29/07/2020,012SPEC24036
Mountain,London,13/05/2020,1,2543,31/05/2020,043SPEC12415
Road,Manchester,29/06/2020,5,2893,10/07/2020,032SPEC29139
Gravel,Birmingham,12/11/2020,4,2549,22/11/2020,021SPEC01457
Road,London,12/05/2020,4,1971,13/05/2020,102SPEC84238
Gravel,London,25/03/2020,1,3708,03/04/2020,012SPEC93596
Road,Leeds,24/01/2020,1,1790,11/02/2020,943SPEC24927
Mountain,Leeds,29/08/2020,4,3034,04/09/2020,429SPEC21327
Road,York,15/04/2020,1,1394,05/05/2020,942SPEC34357
Gravel,Birmingham,12/08/2020,4,2579,31/08/2020,120SPEC13507
Road,York,30/10/2020,3,1684,12/11/2020,220SPEC12418
Mountain,Leeds,06/05/2020,1,2273,21/05/2020,012SPEC24037
Gravel,Manchester,19/07/2020,4,2837,23/07/2020,043SPEC12416
Mountain,Birmingham,17/01/2020,1,2114,25/01/2020,032SPEC29140
Road,Manchester,01/02/2020,1,1040,18/02/2020,021SPEC01458
Mountain,Birmingham,02/08/2020,1,3726,05/08/2020,102SPEC84239
Gravel,York,02/09/2020,1,1198,13/09/2020,012SPEC93597
Road,Leeds,22/09/2020,2,3976,27/09/2020,943SPEC24928
Gravel,Leeds,15/11/2020,5,3183,23/11/2020,429SPEC21328
Gravel,Birmingham,04/02/2020,1,2002,12/02/2020,942SPEC34358
Road,Leeds,14/03/2020,5,2098,17/03/2020,120SPEC13508
Mountain,Leeds,15/08/2020,1,1890,20/08/2020,220SPEC12419
Road,London,26/03/2020,2,2931,10/04/2020,012SPEC24038
Gravel,Birmingham,02/12/2020,4,1710,08/12/2020,043SPEC12417
Gravel,Manchester,03/01/2020,1,2412,14/01/2020,032SPEC29141
Road,Manchester,21/12/2020,5,3130,24/12/2020,021SPEC01459
Road,York,23/06/2020,3,1879,12/07/2020,102SPEC84240
Gravel,Manchester,11/09/2020,2,3147,16/09/2020,012SPEC93598
Gravel,London,12/03/2020,5,3456,16/03/2020,943SPEC24929
Road,York,19/05/2020,5,1485,23/05/2020,429SPEC21329
Road,Manchester,26/08/2020,3,1991,04/09/2020,942SPEC34359
Mountain,Leeds,01/07/2020,2,1909,13/07/2020,120SPEC13509
Road,Leeds,23/02/2020,3,2077,25/02/2020,220SPEC12420
Road,York,18/11/2020,3,3839,01/12/2020,012SPEC24039
Road,Leeds,10/10/2020,1,1200,24/10/2020,043SPEC12418
Gravel,Manchester,24/05/2020,3,3224,28/05/2020,032SPEC29142
Gravel,Birmingham,12/10/2020,4,1230,25/10/2020,021SPEC01460
Gravel,Manchester,19/03/2020,1,3975,31/03/2020,102SPEC84241
Road,Leeds,26/05/2020,5,3176,31/05/2020,012SPEC93599
Mountain,Birmingham,21/05/2020,5,1730,05/06/2020,943SPEC24930
Road,Leeds,27/05/2020,3,2116,11/06/2020,429SPEC21330
Mountain,Leeds,23/09/2020,1,1412,03/10/2020,942SPEC34360
Gravel,Leeds,01/07/2020,3,3225,09/07/2020,120SPEC13510
Road,Manchester,03/02/2020,5,1250,13/02/2020,220SPEC12421
Road,Birmingham,11/02/2020,2,1991,01/03/2020,012SPEC24040
Road,York,02/05/2020,2,1326,08/05/2020,043SPEC12419
Mountain,York,02/04/2020,4,3871,07/04/2020,032SPEC29143
Gravel,London,18/08/2020,2,1792,03/09/2020,021SPEC01461
Mountain,Manchester,12/12/2020,2,1414,23/12/2020,102SPEC84242
Gravel,Manchester,04/06/2020,2,1128,06/06/2020,012SPEC93600
Road,Birmingham,03/04/2020,2,2090,07/04/2020,943SPEC24931
Road,London,10/07/2020,1,3954,13/07/2020,429SPEC21331
Gravel,Manchester,30/07/2020,4,3980,14/08/2020,942SPEC34361
Road,York,11/12/2020,5,3801,22/12/2020,120SPEC13511
Mountain,Birmingham,04/09/2020,1,2911,10/09/2020,220SPEC12422
Gravel,Leeds,10/08/2020,4,3431,19/08/2020,012SPEC24041
Gravel,Manchester,22/10/2020,4,2557,07/11/2020,043SPEC12420
Road,Manchester,22/12/2020,2,3784,29/12/2020,032SPEC29144
Mountain,Manchester,15/02/2020,1,1128,04/03/2020,021SPEC01462
Gravel,Birmingham,15/04/2020,5,1656,25/04/2020,102SPEC84243
Road,Birmingham,24/10/2020,2,2917,11/11/2020,012SPEC93601
Mountain,Leeds,23/10/2020,2,2527,07/11/2020,943SPEC24932
Mountain,Birmingham,21/08/2020,3,3896,01/09/2020,429SPEC21332
Mountain,Leeds,31/01/2020,1,3019,12/02/2020,942SPEC34362
Road,Birmingham,03/12/2020,2,1504,07/12/2020,120SPEC13512
Road,York,29/10/2020,4,3775,02/11/2020,220SPEC12423
Mountain,Leeds,05/07/2020,1,2270,06/07/2020,012SPEC24042
Road,Manchester,07/11/2020,3,1552,27/11/2020,043SPEC12421
Mountain,Leeds,24/08/2020,3,2607,07/09/2020,032SPEC29145
Road,London,15/03/2020,2,2628,23/03/2020,021SPEC01463
Gravel,Birmingham,31/08/2020,2,2319,10/09/2020,102SPEC84244
Gravel,London,27/05/2020,3,1074,16/06/2020,012SPEC93602
Gravel,London,20/04/2020,1,2907,09/05/2020,943SPEC24933
Mountain,Manchester,16/03/2020,3,868,24/03/2020,429SPEC21333
Mountain,Manchester,05/07/2020,3,856,22/07/2020,942SPEC34363
Mountain,Manchester,22/02/2020,2,3214,29/02/2020,120SPEC13513
Gravel,York,17/05/2020,4,3180,05/06/2020,220SPEC12424
Mountain,York,19/11/2020,2,3535,07/12/2020,012SPEC24043
Gravel,York,20/04/2020,2,1491,10/05/2020,043SPEC12422
Mountain,Birmingham,14/07/2020,1,1237,25/07/2020,032SPEC29146
Road,York,10/03/2020,1,2091,21/03/2020,021SPEC01464
Gravel,London,12/08/2020,1,3609,29/08/2020,102SPEC84245
Road,York,03/04/2020,3,2973,09/04/2020,012SPEC93603
Mountain,Manchester,26/09/2020,2,2587,29/09/2020,943SPEC24934
Gravel,Leeds,07/06/2020,1,1257,08/06/2020,429SPEC21334
Road,Manchester,24/02/2020,1,1241,09/03/2020,942SPEC34364
Mountain,Birmingham,28/03/2020,1,876,09/04/2020,120SPEC13514
Gravel,Manchester,10/04/2020,2,3835,17/04/2020,220SPEC12425
Mountain,London,22/11/2020,5,2349,11/12/2020,012SPEC24044
Road,London,29/01/2020,1,1727,02/02/2020,043SPEC12423
Mountain,London,30/04/2020,1,2832,16/05/2020,032SPEC29147
Road,Manchester,05/10/2020,4,3142,25/10/2020,021SPEC01465
Mountain,Manchester,16/01/2020,4,2719,21/01/2020,102SPEC84246
Gravel,Manchester,11/11/2020,2,1380,17/11/2020,012SPEC93604
Mountain,Birmingham,21/07/2020,2,3838,31/07/2020,943SPEC24935
Gravel,London,14/02/2020,4,3273,16/02/2020,429SPEC21335
Mountain,London,11/08/2020,5,2028,21/08/2020,942SPEC34365
Road,Birmingham,24/11/2020,3,3691,11/12/2020,120SPEC13515
Mountain,Birmingham,19/01/2020,4,3873,20/01/2020,220SPEC12426
Mountain,London,19/12/2020,2,1213,02/01/2021,012SPEC24045
Mountain,York,24/07/2020,2,2839,13/08/2020,043SPEC12424
Mountain,York,19/04/2020,2,1459,07/05/2020,032SPEC29148
Gravel,Birmingham,17/11/2020,2,1582,20/11/2020,021SPEC01466
Gravel,Birmingham,30/09/2020,5,1873,14/10/2020,102SPEC84247
Road,Leeds,22/03/2020,3,3722,05/04/2020,012SPEC93605
Gravel,Manchester,02/03/2020,4,3772,08/03/2020,943SPEC24936
Gravel,Leeds,23/10/2020,5,1056,06/11/2020,429SPEC21336
Gravel,Leeds,29/03/2020,4,1509,02/04/2020,942SPEC34366
Gravel,York,29/02/2020,2,3696,08/03/2020,120SPEC13516
Road,London,14/07/2020,5,1576,21/07/2020,220SPEC12427
Gravel,Birmingham,15/02/2020,3,2430,16/02/2020,012SPEC24046
Mountain,Leeds,27/07/2020,3,3837,15/08/2020,043SPEC12425
Road,London,19/02/2020,3,1858,06/03/2020,032SPEC29149
Road,York,22/07/2020,3,2496,08/08/2020,021SPEC01467
Gravel,Birmingham,05/09/2020,2,1862,20/09/2020,102SPEC84248
Road,Manchester,21/12/2020,1,3737,28/12/2020,03913/012ORRO
Road,London,25/12/2020,2,884,01/01/2021,03913/012ORRO
Road,London,22/01/2020,2,2897,26/01/2020,48321/001ORRO
Gravel,Manchester,13/06/2020,3,3940,29/06/2020,84123/002ORRO
Road,London,02/10/2020,3,1160,10/10/2020,12349/014ORRO
Mountain,York,15/10/2020,2,2767,23/10/2020,19312/032ORRO
Road,Birmingham,03/03/2020,5,2182,22/03/2020,23144/014ORRO
Gravel,Birmingham,03/03/2020,1,2658,22/03/2020,03913/012ORRO
Gravel,London,20/02/2020,3,3829,27/02/2020,03913/012ORRO
Mountain,London,28/07/2020,5,3138,15/08/2020,48321/001ORRO
Mountain,Birmingham,28/04/2020,4,1598,11/05/2020,84123/002ORRO
Gravel,Birmingham,04/06/2020,5,912,07/06/2020,12349/014ORRO
Mountain,London,03/12/2020,4,2109,10/12/2020,19312/032ORRO
Gravel,York,29/01/2020,5,3850,31/01/2020,23144/014ORRO
Gravel,Birmingham,25/03/2020,4,2005,03/04/2020,03913/012ORRO
Mountain,London,05/09/2020,1,2708,13/09/2020,03913/012ORRO
Gravel,Leeds,04/12/2020,3,3017,15/12/2020,48321/001ORRO
Road,York,05/05/2020,1,1298,18/05/2020,84123/002ORRO
Road,York,17/01/2020,5,1128,31/01/2020,12349/014ORRO
Road,Leeds,09/10/2020,4,786,24/10/2020,19312/032ORRO
Mountain,York,07/04/2020,5,3171,12/04/2020,23144/014ORRO
Road,York,20/03/2020,2,2855,31/03/2020,03913/012ORRO
Road,York,25/05/2020,3,2359,28/05/2020,03913/012ORRO
Road,York,07/06/2020,1,803,20/06/2020,48321/001ORRO
Mountain,Manchester,18/11/2020,3,1440,21/11/2020,84123/002ORRO
Gravel,York,04/04/2020,5,3078,05/04/2020,12349/014ORRO
Mountain,London,24/10/2020,2,995,04/11/2020,19312/032ORRO
Gravel,Birmingham,16/07/2020,5,3052,03/08/2020,23144/014ORRO
Gravel,Leeds,03/12/2020,3,1091,13/12/2020,03913/012ORRO
Mountain,York,10/04/2020,4,851,19/04/2020,03913/012ORRO
Road,Birmingham,25/06/2020,1,1916,29/06/2020,48321/001ORRO
Road,York,07/10/2020,1,3809,15/10/2020,84123/002ORRO
Road,Birmingham,26/11/2020,4,3297,27/11/2020,12349/014ORRO
Mountain,Manchester,07/05/2020,2,3961,09/05/2020,19312/032ORRO
Road,Birmingham,07/11/2020,5,1057,26/11/2020,23144/014ORRO
Gravel,York,10/08/2020,3,2777,23/08/2020,BROM12042/912
Road,Birmingham,02/09/2020,5,2392,22/09/2020,BROM93423/120
Road,Leeds,22/11/2020,3,3109,03/12/2020,BROM12319/123
Mountain,Birmingham,30/10/2020,1,1999,01/11/2020,BROM12459/124
Mountain,Manchester,05/02/2020,5,3141,09/02/2020,BROM12493/230
Road,York,26/04/2020,1,3947,06/05/2020,BROM24292/102
Mountain,Leeds,17/09/2020,1,2334,19/09/2020,BROM31821/300
Gravel,Birmingham,16/05/2020,5,1362,24/05/2020,BROM34921/102
Mountain,Birmingham,15/09/2020,5,1413,20/09/2020,BROM12042/913
Gravel,Leeds,22/07/2020,4,3939,03/08/2020,BROM93423/121
Gravel,Leeds,01/11/2020,1,1598,11/11/2020,BROM12319/124
Mountain,Manchester,16/07/2020,2,989,05/08/2020,BROM12459/125
Mountain,Leeds,17/10/2020,2,2165,02/11/2020,BROM12493/231
Road,York,11/04/2020,2,1304,20/04/2020,BROM24292/103
Gravel,York,11/04/2020,3,3699,23/04/2020,BROM31821/301
Gravel,Manchester,10/11/2020,4,3045,26/11/2020,BROM34921/103
Road,Birmingham,02/12/2020,3,2605,21/12/2020,BROM12042/914
Road,London,15/11/2020,5,1765,03/12/2020,BROM93423/122
Road,London,10/08/2020,4,3693,26/08/2020,BROM12319/125
Road,Leeds,06/01/2020,1,2358,18/01/2020,BROM12459/126
Mountain,London,17/02/2020,4,2568,02/03/2020,BROM12493/232
Gravel,York,15/10/2020,5,2049,03/11/2020,BROM24292/104
Gravel,London,17/06/2020,1,844,19/06/2020,BROM31821/302
Gravel,Birmingham,21/09/2020,5,1629,25/09/2020,BROM34921/104
Mountain,London,02/01/2020,2,3545,15/01/2020,BROM12042/915
Road,London,22/08/2020,1,1664,26/08/2020,BROM93423/123
Mountain,London,03/04/2020,4,3200,23/04/2020,BROM12319/126
Gravel,London,21/09/2020,1,1761,11/10/2020,BROM12459/127
Gravel,Manchester,26/02/2020,3,3658,08/03/2020,BROM12493/233
Road,Birmingham,25/11/2020,5,2427,12/12/2020,BROM24292/105
Gravel,Birmingham,21/01/2020,5,2687,10/02/2020,BROM31821/303
Mountain,Leeds,14/10/2020,2,2726,20/10/2020,BROM34921/105
Gravel,Leeds,05/10/2020,3,3691,09/10/2020,BROM12042/916
Mountain,York,20/04/2020,1,1547,08/05/2020,BROM93423/124
Gravel,York,20/04/2020,5,3532,23/04/2020,BROM12319/127
Mountain,London,06/03/2020,4,1000,16/03/2020,BROM12459/128
Gravel,Leeds,28/09/2020,4,1706,29/09/2020,BROM12493/234
Road,Birmingham,21/11/2020,3,1094,25/11/2020,BROM24292/106
Road,Manchester,22/09/2020,2,3170,29/09/2020,BROM31821/304
Road,York,23/08/2020,3,2765,27/08/2020,BROM34921/106
Gravel,Birmingham,07/01/2020,4,1455,17/01/2020,BROM12042/917
Road,Birmingham,17/08/2020,2,2481,25/08/2020,BROM93423/125
Road,York,31/10/2020,2,2701,08/11/2020,BROM12319/128
Road,London,14/03/2020,5,1101,25/03/2020,BROM12459/129
Mountain,Birmingham,05/04/2020,3,1743,19/04/2020,BROM12493/235
Gravel,Leeds,23/02/2020,3,3309,27/02/2020,BROM24292/107
Road,London,08/12/2020,1,2204,13/12/2020,BROM31821/305
Mountain,Leeds,14/03/2020,4,2957,18/03/2020,BROM34921/107
Road,York,16/01/2020,4,792,04/02/2020,BROM12042/918
Road,London,15/02/2020,1,962,24/02/2020,BROM93423/126
Mountain,London,20/08/2020,2,794,25/08/2020,BROM12319/129
Mountain,Manchester,05/10/2020,1,854,06/10/2020,BROM12459/130
Road,Leeds,25/03/2020,5,1845,02/04/2020,BROM12493/236
Gravel,Leeds,30/05/2020,3,1354,01/06/2020,BROM24292/108
Mountain,Manchester,23/09/2020,1,1338,11/10/2020,BROM31821/306
Gravel,Birmingham,12/07/2020,4,3191,19/07/2020,BROM34921/108
Mountain,Leeds,02/09/2020,2,2704,22/09/2020,BROM12042/919
Road,Manchester,03/05/2020,1,1494,19/05/2020,BROM93423/127
Road,York,12/08/2020,5,3952,31/08/2020,BROM12319/130
Road,Birmingham,22/12/2020,3,778,03/01/2021,BROM12459/131
Mountain,York,14/11/2020,2,3661,20/11/2020,BROM12493/237
Gravel,Birmingham,13/10/2020,2,3890,01/11/2020,BROM24292/109
Gravel,York,08/03/2020,5,822,16/03/2020,BROM31821/307
Mountain,London,27/03/2020,5,2322,04/04/2020,BROM34921/109
Gravel,Leeds,09/03/2020,1,2000,13/03/2020,BROM12042/920
Gravel,London,10/07/2020,2,770,19/07/2020,BROM93423/128
Road,London,06/01/2020,4,3833,13/01/2020,BROM12319/131
Gravel,Leeds,24/10/2020,2,812,27/10/2020,BROM12459/132
Road,London,15/10/2020,4,3467,26/10/2020,BROM12493/238
Gravel,Leeds,28/02/2020,5,854,15/03/2020,BROM24292/110
Road,York,13/01/2020,5,1707,19/01/2020,BROM31821/308
Gravel,London,12/01/2020,3,3067,24/01/2020,BROM34921/110
Mountain,York,13/10/2020,5,3865,19/10/2020,BROM12042/921
Mountain,Birmingham,18/06/2020,5,2278,06/07/2020,BROM93423/129
Mountain,Manchester,08/02/2020,1,3388,13/02/2020,BROM12319/132
Mountain,York,22/03/2020,5,2358,28/03/2020,BROM12459/133
Gravel,York,24/07/2020,2,2499,05/08/2020,12123/014KONA
Road,York,10/06/2020,4,2514,30/06/2020,84123/192KONA
Road,York,22/01/2020,2,1923,06/02/2020,02381/123KONA
Road,Leeds,12/02/2020,1,3089,29/02/2020,83481/012KONA
Road,Leeds,20/05/2020,2,3875,24/05/2020,93481/014KONA
Mountain,Birmingham,19/10/2020,3,1521,06/11/2020,94120/015KONA
Gravel,Birmingham,05/10/2020,5,853,19/10/2020,92423/192KONA
Road,Manchester,04/07/2020,3,2120,19/07/2020,83412/824KONA
Mountain,London,05/07/2020,2,2794,19/07/2020,81233/023KONA
Mountain,Birmingham,11/07/2020,3,3372,12/07/2020,12123/014KONA
Gravel,Birmingham,24/03/2020,1,1966,05/04/2020,84123/192KONA
Road,London,05/09/2020,4,2888,20/09/2020,02381/123KONA
Mountain,Leeds,23/01/2020,3,2756,26/01/2020,83481/012KONA
Gravel,Birmingham,13/09/2020,2,2761,19/09/2020,93481/014KONA
Road,London,10/09/2020,3,2092,13/09/2020,94120/015KONA
Road,Manchester,04/08/2020,1,979,09/08/2020,92423/192KONA
Mountain,Leeds,11/09/2020,3,2266,23/09/2020,83412/824KONA
Gravel,London,13/09/2020,2,3409,03/10/2020,81233/023KONA
Gravel,York,17/04/2020,2,3119,19/04/2020,12123/014KONA
Road,Leeds,27/05/2020,3,914,10/06/2020,84123/192KONA
Gravel,York,05/04/2020,1,2648,19/04/2020,02381/123KONA
Mountain,London,16/02/2020,2,1125,23/02/2020,83481/012KONA
Gravel,Birmingham,21/08/2020,1,3404,25/08/2020,93481/014KONA
Road,Leeds,13/08/2020,4,2730,18/08/2020,94120/015KONA
Gravel,York,27/08/2020,1,1199,02/09/2020,92423/192KONA
Mountain,London,14/01/2020,2,3876,16/01/2020,83412/824KONA
Mountain,Birmingham,13/09/2020,3,1711,25/09/2020,81233/023KONA
Gravel,London,10/08/2020,5,2834,14/08/2020,12123/014KONA
Road,Leeds,04/06/2020,4,2917,09/06/2020,84123/192KONA
Mountain,Birmingham,19/01/2020,5,2238,25/01/2020,02381/123KONA
Road,York,19/12/2020,4,2097,25/12/2020,83481/012KONA
Road,Manchester,07/08/2020,4,2832,16/08/2020,93481/014KONA
Gravel,Leeds,18/11/2020,5,2633,27/11/2020,94120/015KONA
Gravel,London,01/04/2020,2,2353,14/04/2020,92423/192KONA
Road,Leeds,20/11/2020,3,1311,10/12/2020,83412/824KONA
Mountain,Leeds,05/02/2020,5,993,18/02/2020,81233/023KONA
Mountain,Manchester,12/05/2020,5,1207,25/05/2020,12123/014KONA
Gravel,Birmingham,09/07/2020,2,1376,21/07/2020,84123/192KONA
Mountain,London,31/07/2020,4,2662,08/08/2020,02381/123KONA
Road,Leeds,08/06/2020,2,3605,27/06/2020,83481/012KONA
Gravel,Leeds,12/04/2020,1,3678,16/04/2020,93481/014KONA
Road,Birmingham,03/01/2020,5,2230,17/01/2020,94120/015KONA
Road,Birmingham,21/07/2020,5,2939,08/08/2020,92423/192KONA
Gravel,Leeds,11/10/2020,5,3345,16/10/2020,83412/824KONA
Road,Leeds,06/05/2020,1,3703,14/05/2020,81233/023KONA
Gravel,London,24/02/2020,4,1552,06/03/2020,12123/014KONA
Gravel,London,18/11/2020,2,3701,07/12/2020,84123/192KONA
Gravel,Birmingham,30/01/2020,1,3061,09/02/2020,02381/123KONA
Mountain,Leeds,27/03/2020,4,3423,31/03/2020,83481/012KONA
Gravel,Leeds,22/12/2020,2,890,10/01/2021,93481/014KONA
Road,London,25/04/2020,2,3270,13/05/2020,94120/015KONA
Gravel,Leeds,03/11/2020,4,762,22/11/2020,92423/192KONA
Mountain,Birmingham,17/08/2020,2,3413,29/08/2020,83412/824KONA
Mountain,London,03/12/2020,2,3351,13/12/2020,81233/023KONA
Mountain,Birmingham,16/12/2020,2,2800,02/01/2021,12123/014KONA
Gravel,Birmingham,30/11/2020,2,3937,13/12/2020,84123/192KONA
Road,York,26/03/2020,4,1135,10/04/2020,02381/123KONA
Gravel,Leeds,09/09/2020,5,2379,11/09/2020,83481/012KONA
Gravel,Leeds,21/10/2020,3,3501,30/10/2020,93481/014KONA
Mountain,Birmingham,19/01/2020,3,3654,07/02/2020,94120/015KONA
Gravel,Birmingham,18/05/2020,1,1084,24/05/2020,92423/192KONA
Road,London,28/04/2020,4,1184,17/05/2020,83412/824KONA
Gravel,Manchester,18/05/2020,1,3413,24/05/2020,81233/023KONA
Gravel,York,11/01/2020,5,3940,17/01/2020,12123/014KONA
Mountain,York,20/05/2020,4,2597,29/05/2020,84123/192KONA
Mountain,Birmingham,01/12/2020,1,1120,08/12/2020,02381/123KONA
Road,Birmingham,31/01/2020,2,3929,01/02/2020,83481/012KONA
Road,York,26/06/2020,4,1329,30/06/2020,93481/014KONA
Road,London,28/07/2020,2,2850,09/08/2020,94120/015KONA
Gravel,York,07/05/2020,2,2007,21/05/2020,92423/192KONA
Road,Leeds,23/03/2020,5,1580,06/04/2020,83412/824KONA
Mountain,York,26/09/2020,2,1161,12/10/2020,81233/023KONA
Mountain,London,02/06/2020,2,2424,16/06/2020,12123/014KONA
Mountain,Birmingham,12/02/2020,4,2472,16/02/2020,84123/192KONA
Mountain,Birmingham,25/06/2020,2,2067,27/06/2020,02381/123KONA
Gravel,Leeds,29/07/2020,4,2571,02/08/2020,83481/012KONA
Road,York,31/08/2020,5,1315,16/09/2020,93481/014KONA
Gravel,Manchester,13/10/2020,3,2322,26/10/2020,94120/015KONA
Road,Manchester,31/01/2020,5,2073,14/02/2020,92423/192KONA
Gravel,Leeds,30/01/2020,5,1608,03/02/2020,83412/824KONA
Gravel,Manchester,15/07/2020,3,3355,24/07/2020,81233/023KONA
Mountain,Birmingham,24/04/2020,3,3668,08/05/2020,12123/014KONA
Road,Manchester,05/07/2020,5,1554,15/07/2020,84123/192KONA
Mountain,Manchester,03/05/2020,2,1398,06/05/2020,02381/123KONA
Road,Manchester,28/02/2020,4,2116,06/03/2020,83481/012KONA
Mountain,London,15/05/2020,1,2840,20/05/2020,93481/014KONA
Mountain,York,30/11/2020,3,3797,01/12/2020,94120/015KONA
Gravel,Manchester,20/08/2020,3,3105,09/09/2020,92423/192KONA
Gravel,London,14/04/2020,3,3236,30/04/2020,83412/824KONA
Gravel,Manchester,05/12/2020,3,3599,17/12/2020,81233/023KONA
Road,Leeds,22/01/2020,5,2098,05/02/2020,12123/014KONA
Mountain,Manchester,25/03/2020,5,3006,13/04/2020,84123/192KONA
Road,Birmingham,21/05/2020,2,1251,22/05/2020,02381/123KONA
Gravel,Manchester,08/08/2020,1,3206,11/08/2020,83481/012KONA
Road,Birmingham,16/01/2020,2,906,17/01/2020,93481/014KONA
Road,Leeds,13/06/2020,1,1058,23/06/2020,94120/015KONA
